year,month,rank_ME,rank_Resid6_12,nstocks,ret_vw
1967,1,1,1,197,20.8231
1967,1,1,2,164,20.0294
1967,1,1,3,145,18.5018
1967,1,1,4,105,20.4332
1967,1,1,5,75,19.4703
1967,1,2,1,75,17.3290
1967,1,2,2,67,16.6799
1967,1,2,3,65,15.7460
1967,1,2,4,52,13.9317
1967,1,2,5,62,14.2688
1967,1,3,1,82,7.4169
1967,1,3,2,105,11.6639
1967,1,3,3,101,9.5618
1967,1,3,4,137,5.7358
1967,1,3,5,139,7.6974
1967,2,1,1,272,3.5821
1967,2,1,2,263,3.8139
1967,2,1,3,243,4.5037
1967,2,1,4,181,6.3081
1967,2,1,5,125,5.7274
1967,2,2,1,108,0.6092
1967,2,2,2,112,2.1996
1967,2,2,3,112,2.1967
1967,2,2,4,90,2.3390
1967,2,2,5,93,3.9638
1967,2,3,1,118,0.1369
1967,2,3,2,172,0.2964
1967,2,3,3,198,-0.5915
1967,2,3,4,218,0.7194
1967,2,3,5,189,2.7521
1967,3,1,1,323,5.6086
1967,3,1,2,337,6.5687
1967,3,1,3,316,7.8108
1967,3,1,4,263,7.5037
1967,3,1,5,174,7.7617
1967,3,2,1,133,4.0359
1967,3,2,2,147,5.5157
1967,3,2,3,142,6.4955
1967,3,2,4,130,7.1683
1967,3,2,5,121,6.9221
1967,3,3,1,158,3.8903
1967,3,3,2,227,4.3251
1967,3,3,3,272,5.1046
1967,3,3,4,275,3.4280
1967,3,3,5,229,4.5723
1967,4,1,1,342,3.4845
1967,4,1,2,389,3.5803
1967,4,1,3,387,4.7441
1967,4,1,4,339,5.3973
1967,4,1,5,222,5.9464
1967,4,2,1,152,3.3011
1967,4,2,2,184,2.5695
1967,4,2,3,170,3.3839
1967,4,2,4,166,3.7895
1967,4,2,5,142,3.9176
1967,4,3,1,186,4.9124
1967,4,3,2,271,6.3341
1967,4,3,3,310,3.2015
1967,4,3,4,308,3.5316
1967,4,3,5,259,3.7598
1967,5,1,1,376,0.1143
1967,5,1,2,440,0.1738
1967,5,1,3,442,0.8910
1967,5,1,4,403,0.0103
1967,5,1,5,273,-0.6709
1967,5,2,1,170,-1.4497
1967,5,2,2,209,-0.9308
1967,5,2,3,198,-1.9780
1967,5,2,4,190,-1.5887
1967,5,2,5,161,-1.7709
1967,5,3,1,225,-5.3662
1967,5,3,2,315,-4.8141
1967,5,3,3,355,-3.5625
1967,5,3,4,341,-3.7223
1967,5,3,5,289,-3.8334
1967,6,1,1,399,9.0077
1967,6,1,2,464,10.2921
1967,6,1,3,473,11.6033
1967,6,1,4,442,12.4362
1967,6,1,5,322,14.1825
1967,6,2,1,184,5.1080
1967,6,2,2,222,6.2346
1967,6,2,3,226,6.7898
1967,6,2,4,226,7.2006
1967,6,2,5,178,9.3205
1967,6,3,1,261,0.9844
1967,6,3,2,357,1.2732
1967,6,3,3,384,2.0830
1967,6,3,4,368,1.5943
1967,6,3,5,305,3.4327
1967,7,1,1,415,9.6864
1967,7,1,2,491,10.0579
1967,7,1,3,524,9.9535
1967,7,1,4,481,8.8714
1967,7,1,5,348,8.9843
1967,7,2,1,198,7.8907
1967,7,2,2,244,7.5606
1967,7,2,3,258,7.6764
1967,7,2,4,252,7.9158
