year,month,rank_ME,rank_OCA,nstocks,ret_vw
1967,1,1,1,62,16.0706
1967,1,1,2,68,18.7790
1967,1,1,3,83,19.6056
1967,1,1,4,81,21.1161
1967,1,1,5,112,17.2805
1967,1,2,1,48,16.8206
1967,1,2,2,45,18.0840
1967,1,2,3,46,20.0615
1967,1,2,4,51,17.4408
1967,1,2,5,36,13.4366
1967,1,3,1,89,9.1562
1967,1,3,2,78,7.1698
1967,1,3,3,80,9.1871
1967,1,3,4,72,8.2237
1967,1,3,5,88,7.0373
1967,2,1,1,61,3.0327
1967,2,1,2,68,3.3642
1967,2,1,3,83,6.2221
1967,2,1,4,81,7.6064
1967,2,1,5,112,5.5303
1967,2,2,1,48,2.3175
1967,2,2,2,45,1.8013
1967,2,2,3,46,2.5765
1967,2,2,4,51,1.2498
1967,2,2,5,36,4.6626
1967,2,3,1,89,-0.6237
1967,2,3,2,78,-1.0184
1967,2,3,3,80,3.3165
1967,2,3,4,72,3.9906
1967,2,3,5,88,2.4989
1967,3,1,1,62,6.6573
1967,3,1,2,68,9.4613
1967,3,1,3,83,7.4646
1967,3,1,4,81,5.0059
1967,3,1,5,112,5.4207
1967,3,2,1,48,6.7383
1967,3,2,2,45,6.3943
1967,3,2,3,46,7.9488
1967,3,2,4,51,7.5270
1967,3,2,5,36,7.6738
1967,3,3,1,89,4.4927
1967,3,3,2,78,5.2783
1967,3,3,3,80,4.3931
1967,3,3,4,72,3.5374
1967,3,3,5,88,5.7839
1967,4,1,1,62,4.1580
1967,4,1,2,68,4.7088
1967,4,1,3,83,5.0295
1967,4,1,4,81,4.9683
1967,4,1,5,112,4.5882
1967,4,2,1,48,2.1449
1967,4,2,2,45,6.2624
1967,4,2,3,46,6.5068
1967,4,2,4,51,4.1010
1967,4,2,5,36,4.8023
1967,4,3,1,89,3.5345
1967,4,3,2,78,3.8781
1967,4,3,3,80,4.6827
1967,4,3,4,72,6.7292
1967,4,3,5,88,6.0840
1967,5,1,1,62,0.7320
1967,5,1,2,68,-0.7379
1967,5,1,3,83,2.6682
1967,5,1,4,81,-1.4700
1967,5,1,5,112,1.8960
1967,5,2,1,48,-1.7435
1967,5,2,2,45,-2.7077
1967,5,2,3,46,-2.1540
1967,5,2,4,51,-2.4853
1967,5,2,5,36,-1.6521
1967,5,3,1,89,-4.4487
1967,5,3,2,78,-3.9289
1967,5,3,3,80,-5.4790
1967,5,3,4,72,-5.1136
1967,5,3,5,88,-3.7105
1967,6,1,1,62,11.1760
1967,6,1,2,68,14.8898
1967,6,1,3,83,13.6536
1967,6,1,4,81,12.0136
1967,6,1,5,112,11.8616
1967,6,2,1,48,9.1745
1967,6,2,2,45,6.8593
1967,6,2,3,46,6.9439
1967,6,2,4,51,9.6997
1967,6,2,5,36,6.3924
1967,6,3,1,89,0.8830
1967,6,3,2,78,1.1530
1967,6,3,3,79,2.0993
1967,6,3,4,72,4.2571
1967,6,3,5,88,3.9582
1967,7,1,1,82,13.2222
1967,7,1,2,104,9.3297
1967,7,1,3,118,8.5834
1967,7,1,4,113,8.2713
1967,7,1,5,158,9.9767
1967,7,2,1,54,8.0647
1967,7,2,2,50,9.2706
1967,7,2,3,54,7.4577
1967,7,2,4,64,7.8151
1967,7,2,5,48,7.7427
1967,7,3,1,97,3.4150
1967,7,3,2,82,5.0145
1967,7,3,3,86,5.7013
1967,7,3,4,71,6.7630
1967,7,3,5,87,4.7033
1967,8,1,1,82,2.2252
1967,8,1,2,104,1.3174
1967,8,1,3,118,0.3721
1967,8,1,4,113,-0.8597
1967,8,1,5,158,0.3143
1967,8,2,1,54,-1.2211
1967,8,2,2,50,-0.0410
1967,8,2,3,54,1.8898
1967,8,2,4,64,-0.9984
1967,8,2,5,48,0.6862
1967,8,3,1,97,-0.6205
1967,8,3,2,82,-0.9981
1967,8,3,3,86,-2.4991
1967,8,3,4,71,-0.1351
1967,8,3,5,86,0.2264
1967,9,1,1,82,7.9383
1967,9,1,2,104,8.3655
1967,9,1,3,118,8.5950
1967,9,1,4,113,8.8310
1967,9,1,5,157,8.9660
1967,9,2,1,54,2.4690
1967,9,2,2,50,1.7755
1967,9,2,3,54,4.8858
1967,9,2,4,64,5.3597
1967,9,2,5,48,7.1900
1967,9,3,1,97,3.4251
1967,9,3,2,82,4.0230
1967,9,3,3,86,3.4697
1967,9,3,4,71,6.3946
1967,9,3,5,86,2.0327
1967,10,1,1,82,-2.2531
1967,10,1,2,104,-3.5627
1967,10,1,3,118,-1.5143
1967,10,1,4,113,-0.6919
1967,10,1,5,158,-0.2212
1967,10,2,1,53,-5.3689
1967,10,2,2,50,-4.6296
1967,10,2,3,54,-4.7587
1967,10,2,4,64,-0.9626
1967,10,2,5,48,-1.8999
1967,10,3,1,97,-4.4496
1967,10,3,2,82,-2.4859
1967,10,3,3,86,-1.7246
1967,10,3,4,71,1.1001
1967,10,3,5,86,-1.3609
1967,11,1,1,82,0.6518
1967,11,1,2,104,-0.2247
1967,11,1,3,118,-1.1804
1967,11,1,4,113,-0.7607
1967,11,1,5,158,1.7413
1967,11,2,1,52,1.3841
1967,11,2,2,50,1.3920
1967,11,2,3,54,0.8100
1967,11,2,4,64,-1.3644
1967,11,2,5,48,2.5042
1967,11,3,1,97,-0.4278
1967,11,3,2,82,0.3480
1967,11,3,3,86,-0.1385
1967,11,3,4,71,1.2622
1967,11,3,5,86,1.5821
1967,12,1,1,82,8.9302
1967,12,1,2,104,9.5437
1967,12,1,3,116,9.6129
1967,12,1,4,113,9.4877
1967,12,1,5,158,10.1103
1967,12,2,1,52,7.7820
1967,12,2,2,50,7.9792
1967,12,2,3,54,6.6673
1967,12,2,4,64,5.1096
1967,12,2,5,48,6.2629
1967,12,3,1,97,2.8435
1967,12,3,2,82,3.1192
1967,12,3,3,86,3.4864
1967,12,3,4,71,1.2746
1967,12,3,5,86,2.6902
1968,1,1,1,82,3.0612
1968,1,1,2,104,3.3601
1968,1,1,3,116,4.4523
1968,1,1,4,113,1.2553
1968,1,1,5,158,2.9005
1968,1,2,1,52,0.5887
1968,1,2,2,50,-1.0501
1968,1,2,3,54,-4.4894
1968,1,2,4,64,0.8034
1968,1,2,5,48,-0.8243
1968,1,3,1,97,-2.9569
1968,1,3,2,82,-4.1410
1968,1,3,3,86,-7.2975
1968,1,3,4,71,-6.0325
1968,1,3,5,86,-5.6799
1968,2,1,1,82,-7.9470
1968,2,1,2,104,-7.8846
1968,2,1,3,115,-9.1985
1968,2,1,4,113,-5.6831
1968,2,1,5,157,-5.1300
1968,2,2,1,52,-2.8213
1968,2,2,2,50,-4.9732
1968,2,2,3,54,-4.6581
1968,2,2,4,63,-7.9139
1968,2,2,5,48,-4.8041
1968,2,3,1,97,-3.2621
1968,2,3,2,82,-3.0827
1968,2,3,3,86,-4.9387
1968,2,3,4,71,-2.8243
1968,2,3,5,85,-1.6511
1968,3,1,1,82,-1.6224
1968,3,1,2,104,-0.9449
1968,3,1,3,115,-3.1171
1968,3,1,4,113,-0.3322
1968,3,1,5,158,0.3693
1968,3,2,1,52,-1.5864
1968,3,2,2,50,-1.8344
1968,3,2,3,54,-1.2469
1968,3,2,4,63,-1.8451
1968,3,2,5,48,1.2524
1968,3,3,1,97,-0.4083
1968,3,3,2,82,1.5784
1968,3,3,3,86,1.0326
1968,3,3,4,71,3.5100
1968,3,3,5,85,2.0938
1968,4,1,1,82,17.2691
1968,4,1,2,104,15.8585
1968,4,1,3,114,18.5092
1968,4,1,4,113,17.4154
1968,4,1,5,158,20.2988
1968,4,2,1,52,12.3003
1968,4,2,2,50,14.4430
1968,4,2,3,54,17.1581
1968,4,2,4,63,15.0423
1968,4,2,5,48,12.1351
1968,4,3,1,97,6.7352
1968,4,3,2,82,8.3568
1968,4,3,3,86,9.6804
1968,4,3,4,71,12.0387
1968,4,3,5,85,11.6976
1968,5,1,1,82,9.8537
1968,5,1,2,104,11.8943
1968,5,1,3,113,12.4486
1968,5,1,4,113,10.7812
1968,5,1,5,158,12.9819
1968,5,2,1,52,7.1415
1968,5,2,2,50,10.6098
1968,5,2,3,54,7.0641
1968,5,2,4,63,8.0987
1968,5,2,5,48,7.3450
1968,5,3,1,97,1.1198
1968,5,3,2,82,0.4765
1968,5,3,3,86,2.8921
1968,5,3,4,71,2.6909
1968,5,3,5,85,2.9271
1968,6,1,1,82,-0.2045
1968,6,1,2,104,2.8480
1968,6,1,3,113,-0.0019
1968,6,1,4,113,-0.6334
1968,6,1,5,158,-1.5176
1968,6,2,1,52,-0.1424
1968,6,2,2,50,0.5679
1968,6,2,3,54,-0.8872
1968,6,2,4,62,-1.7413
1968,6,2,5,48,0.3278
1968,6,3,1,97,1.2422
1968,6,3,2,82,0.6787
1968,6,3,3,86,-0.3798
1968,6,3,4,71,-1.2372
1968,6,3,5,85,0.6293
1968,7,1,1,84,-0.9293
1968,7,1,2,104,-5.9226
1968,7,1,3,131,-4.1402
1968,7,1,4,139,-2.9909
1968,7,1,5,173,-2.7196
1968,7,2,1,60,-5.4207
1968,7,2,2,58,-3.3058
1968,7,2,3,58,-5.1615
1968,7,2,4,65,-4.4964
1968,7,2,5,51,-3.1633
1968,7,3,1,104,-0.6574
1968,7,3,2,84,1.3224
1968,7,3,3,77,-4.6135
1968,7,3,4,74,-4.2625
1968,7,3,5,82,-4.9887
1968,8,1,1,84,4.6753
1968,8,1,2,104,4.2697
1968,8,1,3,131,4.1135
1968,8,1,4,139,3.9546
1968,8,1,5,173,5.7450
1968,8,2,1,60,3.0555
1968,8,2,2,58,4.3500
1968,8,2,3,57,7.0982
1968,8,2,4,65,4.2172
1968,8,2,5,51,2.3775
1968,8,3,1,104,1.0074
1968,8,3,2,84,2.9495
1968,8,3,3,76,1.9657
1968,8,3,4,74,0.7421
1968,8,3,5,82,1.2531
1968,9,1,1,84,8.9855
1968,9,1,2,104,8.3194
1968,9,1,3,131,6.9021
1968,9,1,4,139,6.6310
1968,9,1,5,172,7.7873
1968,9,2,1,60,7.5324
1968,9,2,2,58,5.5557
1968,9,2,3,57,7.3700
1968,9,2,4,65,8.0518
1968,9,2,5,51,6.7555
1968,9,3,1,104,5.2323
1968,9,3,2,84,4.3969
1968,9,3,3,76,4.4596
1968,9,3,4,74,2.6333
1968,9,3,5,82,3.2538
1968,10,1,1,84,-2.3892
1968,10,1,2,104,0.1464
1968,10,1,3,131,0.7986
1968,10,1,4,139,0.3166
1968,10,1,5,172,1.9888
1968,10,2,1,60,0.3509
1968,10,2,2,58,0.7179
1968,10,2,3,56,0.8291
1968,10,2,4,65,0.5157
1968,10,2,5,51,1.7093
1968,10,3,1,104,2.6386
1968,10,3,2,84,1.1697
1968,10,3,3,76,1.2637
1968,10,3,4,74,-2.2912
1968,10,3,5,81,-0.3100
1968,11,1,1,84,5.5679
1968,11,1,2,104,8.4263
1968,11,1,3,129,6.6786
1968,11,1,4,139,6.9561
1968,11,1,5,172,7.5331
1968,11,2,1,60,7.9619
1968,11,2,2,58,7.1068
1968,11,2,3,57,8.7841
1968,11,2,4,65,7.6411
1968,11,2,5,51,7.2860
1968,11,3,1,104,4.0031
1968,11,3,2,84,4.8560
1968,11,3,3,76,6.2393
1968,11,3,4,74,6.9859
1968,11,3,5,81,5.5061
1968,12,1,1,84,3.2752
1968,12,1,2,104,6.5884
1968,12,1,3,131,0.2122
1968,12,1,4,139,1.5663
1968,12,1,5,171,0.5667
1968,12,2,1,60,-0.1243
1968,12,2,2,58,-0.7294
1968,12,2,3,57,-1.6477
1968,12,2,4,65,-1.6581
1968,12,2,5,51,-1.3974
1968,12,3,1,104,-3.6867
1968,12,3,2,84,-3.9416
1968,12,3,3,76,-3.8758
1968,12,3,4,74,-5.1291
1968,12,3,5,81,-4.0941
1969,1,1,1,84,-1.8288
1969,1,1,2,104,-0.9583
1969,1,1,3,131,-1.6792
1969,1,1,4,139,-0.3747
1969,1,1,5,171,-2.1705
1969,1,2,1,60,0.2256
1969,1,2,2,58,-0.4387
1969,1,2,3,57,-3.9324
1969,1,2,4,65,-3.4164
1969,1,2,5,51,-1.7158
1969,1,3,1,104,-0.0860
1969,1,3,2,84,-1.2315
1969,1,3,3,76,-1.4909
1969,1,3,4,73,-3.1701
1969,1,3,5,81,-0.6504
1969,2,1,1,84,-11.3223
1969,2,1,2,104,-9.5159
1969,2,1,3,131,-10.6619
1969,2,1,4,139,-9.8922
1969,2,1,5,169,-9.5267
1969,2,2,1,60,-10.4693
1969,2,2,2,58,-8.3622
1969,2,2,3,57,-8.4758
1969,2,2,4,65,-7.4239
1969,2,2,5,51,-6.9051
1969,2,3,1,104,-4.8196
1969,2,3,2,84,-4.6992
1969,2,3,3,76,-5.9244
1969,2,3,4,73,-3.4471
1969,2,3,5,81,-3.1211
1969,3,1,1,84,0.9336
1969,3,1,2,104,4.3826
1969,3,1,3,131,2.3510
1969,3,1,4,138,1.8917
1969,3,1,5,169,3.7521
1969,3,2,1,60,2.1021
1969,3,2,2,58,4.4301
1969,3,2,3,57,2.2642
1969,3,2,4,65,2.7899
1969,3,2,5,51,4.0704
1969,3,3,1,104,2.9339
1969,3,3,2,84,3.7753
1969,3,3,3,76,3.4391
1969,3,3,4,73,5.8565
1969,3,3,5,81,3.9178
1969,4,1,1,84,-2.2380
1969,4,1,2,104,0.9060
1969,4,1,3,131,-0.6844
1969,4,1,4,138,0.7322
1969,4,1,5,169,-0.1207
1969,4,2,1,60,-0.2058
1969,4,2,2,58,0.3943
1969,4,2,3,56,0.8250
1969,4,2,4,65,2.7393
1969,4,2,5,51,2.4405
1969,4,3,1,104,1.7962
1969,4,3,2,84,1.0702
1969,4,3,3,76,2.2097
1969,4,3,4,73,3.6943
1969,4,3,5,81,4.1944
1969,5,1,1,84,3.2646
1969,5,1,2,104,0.9553
1969,5,1,3,130,-0.9879
1969,5,1,4,138,1.6878
1969,5,1,5,169,1.1802
1969,5,2,1,60,-0.9185
1969,5,2,2,58,-0.2533
1969,5,2,3,57,-0.5139
1969,5,2,4,65,0.7323
1969,5,2,5,50,1.9215
1969,5,3,1,104,1.4724
1969,5,3,2,83,0.2217
1969,5,3,3,76,-0.1169
1969,5,3,4,72,-1.3894
1969,5,3,5,81,1.3558
1969,6,1,1,84,-14.2224
1969,6,1,2,104,-14.9963
1969,6,1,3,130,-15.1134
1969,6,1,4,139,-13.2571
1969,6,1,5,169,-12.0386
1969,6,2,1,60,-12.5128
1969,6,2,2,58,-11.1495
1969,6,2,3,57,-11.0551
1969,6,2,4,65,-10.6707
1969,6,2,5,51,-9.3267
1969,6,3,1,103,-8.2726
1969,6,3,2,84,-7.7606
1969,6,3,3,76,-4.8730
1969,6,3,4,72,-0.6043
1969,6,3,5,81,-3.8999
1969,7,1,1,107,-10.9125
1969,7,1,2,138,-11.5559
1969,7,1,3,163,-13.0381
1969,7,1,4,127,-10.4514
1969,7,1,5,185,-11.7834
1969,7,2,1,62,-11.1584
1969,7,2,2,65,-9.6035
1969,7,2,3,63,-8.4434
1969,7,2,4,70,-9.4953
1969,7,2,5,60,-8.4025
1969,7,3,1,105,-6.9636
1969,7,3,2,82,-7.2434
1969,7,3,3,90,-5.4444
1969,7,3,4,81,-4.8209
1969,7,3,5,87,-5.0156
1969,8,1,1,106,3.5122
1969,8,1,2,138,3.6808
1969,8,1,3,162,2.9928
1969,8,1,4,127,5.9050
1969,8,1,5,185,4.9389
1969,8,2,1,62,7.6653
1969,8,2,2,65,7.1118
1969,8,2,3,63,4.3487
1969,8,2,4,70,5.7089
1969,8,2,5,60,7.6750
1969,8,3,1,105,3.0636
1969,8,3,2,82,6.7038
1969,8,3,3,90,4.9775
1969,8,3,4,81,5.8070
1969,8,3,5,87,7.6807
1969,9,1,1,106,-1.9331
1969,9,1,2,138,-4.3880
1969,9,1,3,163,-4.5238
1969,9,1,4,127,-5.0517
1969,9,1,5,185,-1.6307
1969,9,2,1,60,2.4056
1969,9,2,2,65,-3.4311
1969,9,2,3,63,-0.3208
1969,9,2,4,70,0.0624
1969,9,2,5,60,0.3728
1969,9,3,1,105,-4.2328
1969,9,3,2,82,-5.5130
1969,9,3,3,90,-1.5524
1969,9,3,4,81,0.6195
1969,9,3,5,87,0.6231
1969,10,1,1,106,7.4726
1969,10,1,2,138,10.3969
1969,10,1,3,163,12.3901
1969,10,1,4,127,9.7847
1969,10,1,5,185,12.2082
1969,10,2,1,60,8.2690
1969,10,2,2,65,8.4977
1969,10,2,3,62,8.9662
1969,10,2,4,70,9.7111
1969,10,2,5,60,6.5456
1969,10,3,1,105,3.5837
1969,10,3,2,81,2.7104
1969,10,3,3,90,6.7013
1969,10,3,4,81,4.2685
1969,10,3,5,87,7.8324
1969,11,1,1,106,-10.2385
1969,11,1,2,137,-6.2976
1969,11,1,3,163,-7.5150
1969,11,1,4,127,-5.6095
1969,11,1,5,185,-5.9890
1969,11,2,1,60,-5.6647
1969,11,2,2,65,-5.4178
1969,11,2,3,63,-3.8284
1969,11,2,4,69,-4.5784
1969,11,2,5,60,-3.9687
1969,11,3,1,105,-2.7071
1969,11,3,2,82,-4.4350
1969,11,3,3,90,-2.2853
1969,11,3,4,81,-1.4665
1969,11,3,5,87,-1.9950
1969,12,1,1,106,-10.3573
1969,12,1,2,138,-7.9946
1969,12,1,3,163,-8.3077
1969,12,1,4,127,-6.8439
1969,12,1,5,185,-6.4731
1969,12,2,1,59,-7.2939
1969,12,2,2,65,-4.8435
1969,12,2,3,63,-4.4844
1969,12,2,4,69,-3.0109
1969,12,2,5,60,-4.2759
1969,12,3,1,105,-3.7618
1969,12,3,2,82,-1.1143
1969,12,3,3,90,-3.8566
1969,12,3,4,81,-0.3466
1969,12,3,5,87,2.1600
1970,1,1,1,106,-2.6924
1970,1,1,2,138,-5.3976
1970,1,1,3,163,-3.8646
1970,1,1,4,127,-1.7701
1970,1,1,5,185,-2.3909
1970,1,2,1,60,-8.6814
1970,1,2,2,65,-4.3127
1970,1,2,3,63,-6.1616
1970,1,2,4,69,-5.4007
1970,1,2,5,60,-6.4221
1970,1,3,1,105,-7.5374
1970,1,3,2,82,-10.6364
1970,1,3,3,90,-9.6223
1970,1,3,4,81,-7.5840
1970,1,3,5,87,-5.5212
1970,2,1,1,106,4.8321
1970,2,1,2,138,2.6569
1970,2,1,3,162,2.2491
1970,2,1,4,127,4.5058
1970,2,1,5,185,1.7496
1970,2,2,1,59,6.8142
1970,2,2,2,65,4.5408
1970,2,2,3,63,2.9029
1970,2,2,4,68,3.1718
1970,2,2,5,60,3.8746
1970,2,3,1,105,8.7660
1970,2,3,2,82,5.2894
1970,2,3,3,90,3.0774
1970,2,3,4,80,3.4532
1970,2,3,5,87,4.8891
1970,3,1,1,106,-0.4214
1970,3,1,2,138,-5.1502
1970,3,1,3,162,-5.7933
1970,3,1,4,127,-3.2997
1970,3,1,5,185,-3.7736
1970,3,2,1,60,-4.0865
1970,3,2,2,65,-1.2381
1970,3,2,3,63,-1.7092
1970,3,2,4,70,-3.0838
1970,3,2,5,60,-2.3475
1970,3,3,1,105,1.1058
1970,3,3,2,82,1.2537
1970,3,3,3,90,-1.2538
1970,3,3,4,81,-0.3030
1970,3,3,5,87,-2.8561
1970,4,1,1,106,-18.6270
1970,4,1,2,138,-18.1022
1970,4,1,3,160,-18.4015
1970,4,1,4,127,-17.0387
1970,4,1,5,185,-18.1613
1970,4,2,1,59,-18.6844
1970,4,2,2,65,-15.3007
1970,4,2,3,63,-14.8730
1970,4,2,4,70,-15.8000
1970,4,2,5,60,-15.6502
1970,4,3,1,105,-8.8004
1970,4,3,2,82,-7.3414
1970,4,3,3,90,-11.4293
1970,4,3,4,81,-11.3134
1970,4,3,5,87,-9.1759
1970,5,1,1,105,-7.6457
1970,5,1,2,138,-9.2818
1970,5,1,3,160,-9.8164
1970,5,1,4,125,-8.8789
1970,5,1,5,185,-10.4368
1970,5,2,1,59,-11.8145
1970,5,2,2,65,-9.9489
1970,5,2,3,63,-12.1591
1970,5,2,4,70,-10.9496
1970,5,2,5,60,-8.7327
1970,5,3,1,105,-4.3553
1970,5,3,2,82,-2.7334
1970,5,3,3,90,-7.2139
1970,5,3,4,81,-8.0014
1970,5,3,5,87,-7.3844
1970,6,1,1,104,-8.5834
1970,6,1,2,138,-10.7520
1970,6,1,3,159,-9.2607
1970,6,1,4,125,-10.3616
1970,6,1,5,184,-5.6605
1970,6,2,1,58,-9.5161
1970,6,2,2,65,-6.7445
1970,6,2,3,63,-8.0788
1970,6,2,4,69,-7.0004
1970,6,2,5,60,-6.5877
1970,6,3,1,105,-5.3246
1970,6,3,2,82,-3.5641
1970,6,3,3,90,-6.0363
1970,6,3,4,81,-7.1594
1970,6,3,5,87,-2.3074
1970,7,1,1,118,5.9389
1970,7,1,2,156,6.0590
1970,7,1,3,173,4.4946
1970,7,1,4,169,3.5765
1970,7,1,5,197,4.4253
1970,7,2,1,70,4.9982
1970,7,2,2,68,10.5872
1970,7,2,3,69,5.0337
1970,7,2,4,69,7.1117
1970,7,2,5,72,9.6996
1970,7,3,1,105,9.3172
1970,7,3,2,85,8.6039
1970,7,3,3,96,7.1569
1970,7,3,4,82,4.1403
1970,7,3,5,84,5.9119
1970,8,1,1,118,6.1547
1970,8,1,2,155,5.0917
1970,8,1,3,173,8.6423
1970,8,1,4,168,6.4913
1970,8,1,5,197,5.0982
1970,8,2,1,69,8.2837
1970,8,2,2,68,7.9949
1970,8,2,3,69,7.1666
1970,8,2,4,69,7.1021
1970,8,2,5,72,3.9014
1970,8,3,1,104,3.5898
1970,8,3,2,85,6.5687
1970,8,3,3,96,7.0995
1970,8,3,4,82,5.2672
1970,8,3,5,84,2.2146
1970,9,1,1,118,15.1519
1970,9,1,2,155,16.5694
1970,9,1,3,173,13.9521
1970,9,1,4,166,16.0811
1970,9,1,5,196,14.7494
1970,9,2,1,69,16.3138
1970,9,2,2,68,10.5622
1970,9,2,3,68,14.8960
1970,9,2,4,69,9.8119
1970,9,2,5,72,10.2761
1970,9,3,1,104,2.2615
1970,9,3,2,85,1.5039
1970,9,3,3,96,5.4454
1970,9,3,4,81,7.5250
1970,9,3,5,84,6.0262
1970,10,1,1,118,-6.2095
1970,10,1,2,155,-8.1854
1970,10,1,3,172,-10.8720
1970,10,1,4,166,-8.5848
1970,10,1,5,197,-5.6440
1970,10,2,1,69,-5.7459
1970,10,2,2,68,-5.8269
1970,10,2,3,68,-6.7650
1970,10,2,4,69,-4.7234
1970,10,2,5,72,-4.3351
1970,10,3,1,104,-1.5198
1970,10,3,2,85,-1.2484
1970,10,3,3,96,-2.6649
1970,10,3,4,81,-0.7960
1970,10,3,5,84,1.0396
1970,11,1,1,118,-1.9123
1970,11,1,2,154,-1.8347
1970,11,1,3,172,-2.0199
1970,11,1,4,165,-2.3535
1970,11,1,5,196,-0.3759
1970,11,2,1,69,-1.4304
1970,11,2,2,68,4.2889
1970,11,2,3,68,1.8904
1970,11,2,4,68,3.2651
1970,11,2,5,72,2.8381
1970,11,3,1,104,4.1959
1970,11,3,2,85,5.8905
1970,11,3,3,96,5.5396
1970,11,3,4,81,3.8989
1970,11,3,5,84,5.4592
1970,12,1,1,116,5.8892
1970,12,1,2,154,9.4670
1970,12,1,3,172,12.2869
1970,12,1,4,164,9.3863
1970,12,1,5,196,10.9277
1970,12,2,1,69,4.1388
1970,12,2,2,68,9.8799
1970,12,2,3,68,8.9040
1970,12,2,4,68,10.3454
1970,12,2,5,72,9.2467
1970,12,3,1,104,6.5025
1970,12,3,2,85,6.3392
1970,12,3,3,96,4.1445
1970,12,3,4,81,5.8476
1970,12,3,5,83,5.3133
1971,1,1,1,116,14.9960
1971,1,1,2,153,15.4605
1971,1,1,3,171,16.8595
1971,1,1,4,164,14.9483
1971,1,1,5,196,13.9462
1971,1,2,1,68,14.6873
1971,1,2,2,68,10.9659
1971,1,2,3,68,9.9896
1971,1,2,4,67,8.5096
1971,1,2,5,72,9.9056
1971,1,3,1,104,5.0914
1971,1,3,2,85,3.2502
1971,1,3,3,96,6.0750
1971,1,3,4,81,4.3119
1971,1,3,5,83,4.0363
1971,2,1,1,116,4.3865
1971,2,1,2,153,5.7402
1971,2,1,3,169,5.9221
1971,2,1,4,164,6.8133
1971,2,1,5,194,6.2169
1971,2,2,1,67,3.7732
1971,2,2,2,68,2.7756
1971,2,2,3,68,1.6498
1971,2,2,4,67,3.6435
1971,2,2,5,72,3.8860
1971,2,3,1,104,0.0432
1971,2,3,2,85,1.7193
1971,2,3,3,96,1.3679
1971,2,3,4,81,4.2098
1971,2,3,5,82,2.1669
1971,3,1,1,116,5.4571
1971,3,1,2,153,3.3496
1971,3,1,3,169,5.1401
1971,3,1,4,163,7.0777
1971,3,1,5,194,10.2538
1971,3,2,1,67,7.0899
1971,3,2,2,68,6.6877
1971,3,2,3,68,7.3977
1971,3,2,4,67,6.6011
1971,3,2,5,72,8.1885
1971,3,3,1,104,2.5274
1971,3,3,2,85,3.3303
1971,3,3,3,95,5.2921
1971,3,3,4,81,5.8421
1971,3,3,5,82,4.3090
1971,4,1,1,116,5.1086
1971,4,1,2,153,0.5690
1971,4,1,3,169,1.4582
1971,4,1,4,163,2.7649
1971,4,1,5,192,2.6480
1971,4,2,1,67,3.6935
1971,4,2,2,68,5.4590
1971,4,2,3,68,2.9827
1971,4,2,4,65,4.8261
1971,4,2,5,72,3.4845
1971,4,3,1,104,3.9374
1971,4,3,2,85,5.1077
1971,4,3,3,95,5.7193
1971,4,3,4,81,3.5103
1971,4,3,5,82,3.7137
1971,5,1,1,116,-7.3763
1971,5,1,2,151,-6.5382
1971,5,1,3,168,-6.2103
1971,5,1,4,162,-6.3615
1971,5,1,5,191,-5.0287
1971,5,2,1,67,-5.5591
1971,5,2,2,68,-4.9709
1971,5,2,3,68,-4.1535
1971,5,2,4,66,-3.0605
1971,5,2,5,71,-2.9324
1971,5,3,1,104,-4.6739
1971,5,3,2,85,-3.8139
1971,5,3,3,95,-2.8918
1971,5,3,4,81,-4.4150
1971,5,3,5,82,-1.5444
1971,6,1,1,114,-2.6059
1971,6,1,2,151,-3.4442
1971,6,1,3,167,-3.0929
1971,6,1,4,161,-1.5024
1971,6,1,5,189,-1.3942
1971,6,2,1,67,-3.8485
1971,6,2,2,67,-1.3939
1971,6,2,3,68,-0.7018
1971,6,2,4,66,2.2875
1971,6,2,5,71,1.0551
1971,6,3,1,104,-0.3594
1971,6,3,2,85,-2.0276
1971,6,3,3,95,1.8066
1971,6,3,4,81,-0.0487
1971,6,3,5,81,1.9052
1971,7,1,1,112,-5.6874
1971,7,1,2,151,-8.2036
1971,7,1,3,185,-7.7207
1971,7,1,4,167,-7.8852
1971,7,1,5,215,-5.3837
1971,7,2,1,75,-6.1738
1971,7,2,2,65,-6.6565
1971,7,2,3,71,-4.2545
1971,7,2,4,71,-5.4895
1971,7,2,5,66,-5.7013
1971,7,3,1,106,-4.6063
1971,7,3,2,95,-2.2716
1971,7,3,3,90,-6.0333
1971,7,3,4,90,-6.9163
1971,7,3,5,92,-2.4597
1971,8,1,1,112,3.2303
1971,8,1,2,151,4.6645
1971,8,1,3,185,4.2304
1971,8,1,4,166,6.0184
1971,8,1,5,215,3.5621
1971,8,2,1,75,4.4407
1971,8,2,2,65,6.7929
1971,8,2,3,71,5.2537
1971,8,2,4,71,5.6236
1971,8,2,5,66,4.2647
1971,8,3,1,106,2.2724
1971,8,3,2,95,4.1164
1971,8,3,3,90,7.0615
1971,8,3,4,89,6.1376
1971,8,3,5,91,4.6286
1971,9,1,1,112,-1.4348
1971,9,1,2,151,-0.6664
1971,9,1,3,185,0.6493
1971,9,1,4,166,-1.2019
1971,9,1,5,215,-0.0141
1971,9,2,1,74,-2.6925
1971,9,2,2,65,-1.5543
1971,9,2,3,71,0.2371
1971,9,2,4,70,-0.0201
1971,9,2,5,66,0.8499
