year,month,rank_ME,rank_Resid6_12,nstocks,ret_vw
1967,1,1,1,195,21.1276
1967,1,1,2,164,20.0335
1967,1,1,3,146,18.4724
1967,1,1,4,103,20.5371
1967,1,1,5,75,19.5609
1967,1,2,1,73,17.5615
1967,1,2,2,68,16.5262
1967,1,2,3,62,15.4920
1967,1,2,4,53,14.5096
1967,1,2,5,63,14.2314
1967,1,3,1,82,7.4200
1967,1,3,2,103,11.6721
1967,1,3,3,105,8.7889
1967,1,3,4,135,5.9548
1967,1,3,5,137,7.7693
1967,2,1,1,276,3.3053
1967,2,1,2,267,4.1098
1967,2,1,3,242,4.5394
1967,2,1,4,181,5.9169
1967,2,1,5,123,6.0860
1967,2,2,1,105,0.6782
1967,2,2,2,113,2.1863
1967,2,2,3,111,2.3459
1967,2,2,4,93,2.3214
1967,2,2,5,92,3.9514
1967,2,3,1,118,0.1600
1967,2,3,2,171,0.2665
1967,2,3,3,203,-0.3811
1967,2,3,4,218,0.5158
1967,2,3,5,190,2.7029
1967,3,1,1,322,5.6627
1967,3,1,2,344,6.6308
1967,3,1,3,316,7.6414
1967,3,1,4,258,7.6931
1967,3,1,5,177,7.6781
1967,3,2,1,132,3.9873
1967,3,2,2,149,5.4959
1967,3,2,3,142,6.7653
1967,3,2,4,133,6.8457
1967,3,2,5,118,7.0293
1967,3,3,1,158,3.9322
1967,3,3,2,225,4.3005
1967,3,3,3,277,4.8941
1967,3,3,4,274,3.6436
1967,3,3,5,231,4.5434
1967,4,1,1,341,3.5673
1967,4,1,2,396,3.6463
1967,4,1,3,385,4.7255
1967,4,1,4,336,5.3074
1967,4,1,5,225,5.9517
1967,4,2,1,150,3.3543
1967,4,2,2,183,2.5021
1967,4,2,3,172,3.4103
1967,4,2,4,166,3.7157
1967,4,2,5,140,3.9904
1967,4,3,1,187,4.8763
1967,4,3,2,273,6.2973
1967,4,3,3,313,3.2430
1967,4,3,4,313,3.5272
1967,4,3,5,261,3.8109
1967,5,1,1,374,0.1804
1967,5,1,2,450,0.2081
1967,5,1,3,440,0.8668
