year,month,rank_ME,rank_ILR_6,nstocks,ret_vw
1967,1,1,1,226,17.9528
1967,1,1,2,245,20.4515
1967,1,1,3,206,21.1480
1967,1,1,4,203,19.3867
1967,1,1,5,54,14.8769
1967,1,2,1,81,14.8707
1967,1,2,2,103,14.6865
1967,1,2,3,101,14.7518
1967,1,2,4,109,15.2747
1967,1,2,5,21,18.0396
1967,1,3,1,130,11.4331
1967,1,3,2,149,9.7395
1967,1,3,3,213,11.7267
1967,1,3,4,104,11.3306
1967,1,3,5,18,6.3309
1967,2,1,1,298,5.8989
1967,2,1,2,284,6.3585
1967,2,1,3,384,4.3949
1967,2,1,4,371,6.0921
1967,2,1,5,192,5.0205
1967,2,2,1,128,4.1586
1967,2,2,2,125,4.5265
1967,2,2,3,164,2.4380
1967,2,2,4,196,3.1990
1967,2,2,5,66,3.4917
1967,2,3,1,290,0.8501
1967,2,3,2,205,2.3895
1967,2,3,3,261,1.6148
1967,2,3,4,189,1.1723
1967,2,3,5,74,3.0194
1967,3,1,1,414,8.9210
1967,3,1,2,435,8.8731
1967,3,1,3,484,7.9408
1967,3,1,4,494,8.5246
1967,3,1,5,235,9.3016
1967,3,2,1,211,5.5401
1967,3,2,2,196,7.4942
1967,3,2,3,216,8.0943
1967,3,2,4,245,7.0779
1967,3,2,5,89,8.8073
1967,3,3,1,364,3.0665
1967,3,3,2,315,5.2131
1967,3,3,3,341,5.6901
1967,3,3,4,252,4.9526
1967,3,3,5,102,5.8109
1967,4,1,1,481,3.4947
1967,4,1,2,577,5.2921
1967,4,1,3,625,4.3963
1967,4,1,4,526,4.8054
1967,4,1,5,386,4.5773
1967,4,2,1,237,1.7249
1967,4,2,2,239,3.9944
1967,4,2,3,288,3.3640
1967,4,2,4,264,4.5147
1967,4,2,5,183,4.3432
1967,4,3,1,373,5.3670
1967,4,3,2,378,4.8903
1967,4,3,3,434,5.0335
1967,4,3,4,306,5.4112
1967,4,3,5,169,9.9100
1967,5,1,1,573,1.1071
1967,5,1,2,640,0.7343
1967,5,1,3,767,0.4371
1967,5,1,4,578,-0.5884
1967,5,1,5,509,-0.3356
1967,5,2,1,272,-0.5433
1967,5,2,2,284,-1.7828
1967,5,2,3,360,-0.8785
1967,5,2,4,298,-2.2055
1967,5,2,5,227,-1.8886
1967,5,3,1,424,-1.8184
1967,5,3,2,416,-2.9084
1967,5,3,3,521,-3.0853
1967,5,3,4,360,-2.8319
1967,5,3,5,219,-2.5089
1967,6,1,1,748,9.3708
1967,6,1,2,742,11.0028
1967,6,1,3,842,11.3400
1967,6,1,4,615,10.8800
1967,6,1,5,531,11.2666
1967,6,2,1,350,7.3091
1967,6,2,2,343,7.1773
1967,6,2,3,394,9.0597
1967,6,2,4,311,8.0342
1967,6,2,5,241,8.9692
1967,6,3,1,503,2.5377
1967,6,3,2,532,2.7390
1967,6,3,3,590,3.2340
1967,6,3,4,367,2.7571
1967,6,3,5,234,5.6020
1967,7,1,1,750,8.1493
1967,7,1,2,645,8.2492
1967,7,1,3,805,9.1972
1967,7,1,4,601,8.6117
1967,7,1,5,524,9.1883
1967,7,2,1,361,7.1102
1967,7,2,2,300,8.3617
1967,7,2,3,398,7.6708
1967,7,2,4,286,6.8285
1967,7,2,5,240,7.5848
1967,7,3,1,511,5.2865
1967,7,3,2,493,4.6796
1967,7,3,3,504,5.0371
1967,7,3,4,328,5.4382
1967,7,3,5,233,3.1961
1967,8,1,1,664,0.4386
1967,8,1,2,620,-0.4114
1967,8,1,3,771,0.7324
1967,8,1,4,644,0.9897
1967,8,1,5,489,1.0238
1967,8,2,1,330,0.0967
1967,8,2,2,300,-0.2087
1967,8,2,3,374,-0.5418
1967,8,2,4,314,-0.7630
1967,8,2,5,229,-0.3565
1967,8,3,1,421,-1.4744
1967,8,3,2,485,-0.9345
1967,8,3,3,462,0.6960
1967,8,3,4,387,-0.8559
1967,8,3,5,210,-1.9815
1967,9,1,1,575,7.8393
1967,9,1,2,633,7.4556
1967,9,1,3,792,8.8776
1967,9,1,4,769,7.4997
1967,9,1,5,572,8.9416
1967,9,2,1,271,4.1564
1967,9,2,2,314,6.1579
1967,9,2,3,397,6.0821
1967,9,2,4,373,5.2619
1967,9,2,5,257,5.4833
1967,9,3,1,360,2.4368
1967,9,3,2,497,2.6315
