year,month,rank_ME,rank_Abr_12,nstocks,ret_vw
1972,1,1,1,142,12.0456
1972,1,1,2,111,11.7461
1972,1,1,3,79,13.6959
1972,1,1,4,85,14.9938
1972,1,1,5,150,16.5246
1972,1,2,1,69,7.5843
1972,1,2,2,51,6.0110
1972,1,2,3,59,9.1870
1972,1,2,4,54,6.5882
1972,1,2,5,68,9.6775
1972,1,3,1,76,2.2242
1972,1,3,2,109,1.6974
1972,1,3,3,105,1.5890
1972,1,3,4,109,2.8983
1972,1,3,5,94,4.3658
1972,2,1,1,164,4.5790
1972,2,1,2,121,3.6583
1972,2,1,3,91,6.4947
1972,2,1,4,106,4.2027
1972,2,1,5,178,4.1831
1972,2,2,1,85,2.2823
1972,2,2,2,73,3.5107
1972,2,2,3,71,2.3143
1972,2,2,4,71,5.9003
1972,2,2,5,97,3.4705
1972,2,3,1,103,5.1589
1972,2,3,2,145,5.1345
1972,2,3,3,139,3.7393
1972,2,3,4,145,2.1230
1972,2,3,5,117,4.3805
1972,3,1,1,229,-1.9521
1972,3,1,2,160,-0.1095
1972,3,1,3,131,-0.0787
1972,3,1,4,153,-0.7260
1972,3,1,5,232,-0.9030
1972,3,2,1,122,-0.9691
1972,3,2,2,95,1.0625
1972,3,2,3,99,0.6929
1972,3,2,4,97,-0.1319
1972,3,2,5,126,0.1223
1972,3,3,1,145,-0.9773
1972,3,3,2,191,0.8920
1972,3,3,3,195,0.5588
1972,3,3,4,193,1.6112
1972,3,3,5,161,0.7060
1972,4,1,1,275,-0.9375
1972,4,1,2,187,0.1852
1972,4,1,3,160,1.1404
1972,4,1,4,163,-0.0634
1972,4,1,5,279,1.5671
1972,4,2,1,141,-0.4497
1972,4,2,2,109,2.5765
1972,4,2,3,108,0.7195
1972,4,2,4,114,1.4321
1972,4,2,5,138,2.5194
1972,4,3,1,158,1.1219
1972,4,3,2,214,0.9677
1972,4,3,3,211,0.0371
1972,4,3,4,213,0.8126
1972,4,3,5,170,1.4332
1972,5,1,1,335,-3.2909
1972,5,1,2,225,-2.7640
1972,5,1,3,200,-1.7285
1972,5,1,4,197,-1.5156
1972,5,1,5,337,-2.0014
1972,5,2,1,169,-3.4910
1972,5,2,2,136,-2.2403
1972,5,2,3,142,-2.4685
1972,5,2,4,137,-2.0050
1972,5,2,5,165,-2.1043
1972,5,3,1,195,2.1872
1972,5,3,2,272,1.1835
1972,5,3,3,259,3.3099
1972,5,3,4,273,2.5007
1972,5,3,5,210,3.2705
1972,6,1,1,386,-4.1761
1972,6,1,2,256,-2.2791
1972,6,1,3,224,-3.1546
1972,6,1,4,223,-2.5904
1972,6,1,5,372,-4.2588
1972,6,2,1,183,-4.4841
1972,6,2,2,158,-3.9868
1972,6,2,3,154,-2.2153
