year,month,rank_ME,rank_Fq_12,nstocks,ret_vw
1985,1,1,1,82,13.7491
1985,1,1,2,78,17.6210
1985,1,1,3,82,14.5217
1985,1,1,4,77,12.9256
1985,1,1,5,62,11.1980
1985,1,2,1,15,17.9423
1985,1,2,2,21,12.2003
1985,1,2,3,21,13.0157
1985,1,2,4,13,13.4574
1985,1,2,5,18,11.9957
1985,1,3,1,6,8.6366
1985,1,3,2,16,11.9385
1985,1,3,3,14,4.1256
1985,1,3,4,13,8.9252
1985,1,3,5,13,8.7130
1985,2,1,1,154,3.3165
1985,2,1,2,147,2.5863
1985,2,1,3,164,3.2105
1985,2,1,4,136,5.6370
1985,2,1,5,108,3.2907
1985,2,2,1,24,-1.7388
1985,2,2,2,36,2.6891
1985,2,2,3,37,1.9519
1985,2,2,4,25,0.8114
1985,2,2,5,28,1.5155
1985,2,3,1,11,4.5611
1985,2,3,2,20,-1.2337
1985,2,3,3,25,1.7740
1985,2,3,4,30,3.7304
1985,2,3,5,27,-1.2434
1985,3,1,1,188,-5.2849
1985,3,1,2,171,-3.1173
1985,3,1,3,185,-3.8618
1985,3,1,4,154,-1.7675
1985,3,1,5,139,-4.2680
1985,3,2,1,32,-2.3512
1985,3,2,2,41,-7.4350
1985,3,2,3,47,-5.3378
1985,3,2,4,35,-2.9284
1985,3,2,5,35,-3.9024
1985,3,3,1,12,1.7302
1985,3,3,2,25,-5.8981
1985,3,3,3,30,-2.5487
1985,3,3,4,33,0.8868
1985,3,3,5,29,-4.5034
1985,4,1,1,209,-3.7707
1985,4,1,2,194,-6.7110
1985,4,1,3,211,-2.5028
1985,4,1,4,174,-2.0514
1985,4,1,5,160,-1.8895
1985,4,2,1,36,-5.8823
1985,4,2,2,47,-5.3322
1985,4,2,3,53,-5.1113
1985,4,2,4,42,-2.5606
1985,4,2,5,40,-2.5989
1985,4,3,1,17,-4.9822
1985,4,3,2,28,-5.5143
1985,4,3,3,34,-3.2646
1985,4,3,4,35,-0.9442
1985,4,3,5,33,-4.0601
1985,5,1,1,465,-1.6967
1985,5,1,2,427,0.5503
1985,5,1,3,438,0.7890
1985,5,1,4,358,1.0297
1985,5,1,5,361,3.5568
1985,5,2,1,101,0.4261
1985,5,2,2,121,2.3849
1985,5,2,3,131,3.2373
1985,5,2,4,107,3.6980
1985,5,2,5,96,3.7175
1985,5,3,1,59,7.7142
1985,5,3,2,109,6.7603
1985,5,3,3,114,5.2708
1985,5,3,4,139,5.4463
1985,5,3,5,123,4.9045
1985,6,1,1,504,-1.0503
1985,6,1,2,472,-0.2405
1985,6,1,3,495,-0.3107
1985,6,1,4,398,0.4341
1985,6,1,5,386,1.0262
1985,6,2,1,114,-1.3068
1985,6,2,2,135,0.6806
1985,6,2,3,139,1.6740
1985,6,2,4,125,2.4342
1985,6,2,5,109,1.1456
1985,6,3,1,69,2.8433
1985,6,3,2,122,3.2110
1985,6,3,3,124,1.9265
1985,6,3,4,142,1.0818
