year,month,rank_ME,rank_GLAq_12,nstocks,ret_vw
1976,1,1,1,93,26.9105
1976,1,1,2,50,21.3152
1976,1,1,3,40,24.7196
1976,1,1,4,58,23.0453
1976,1,1,5,94,27.6490
1976,1,2,1,36,21.6314
1976,1,2,2,37,20.8018
1976,1,2,3,31,17.4247
1976,1,2,4,31,25.7996
1976,1,2,5,43,19.1147
1976,1,3,1,48,13.6897
1976,1,3,2,68,12.2811
1976,1,3,3,60,15.3321
1976,1,3,4,59,9.8255
1976,1,3,5,61,12.4365
1976,2,1,1,120,13.1345
1976,2,1,2,96,12.2692
1976,2,1,3,75,13.0335
1976,2,1,4,84,16.9104
1976,2,1,5,125,11.7323
1976,2,2,1,62,8.0070
1976,2,2,2,58,6.9079
1976,2,2,3,46,9.6470
1976,2,2,4,57,6.6380
1976,2,2,5,57,7.8462
1976,2,3,1,75,2.3124
1976,2,3,2,98,1.2005
1976,2,3,3,98,1.1405
1976,2,3,4,88,-0.0444
1976,2,3,5,81,-2.2004
1976,3,1,1,153,-0.4992
1976,3,1,2,109,2.0400
1976,3,1,3,94,2.1693
1976,3,1,4,101,0.4622
1976,3,1,5,150,3.1479
1976,3,2,1,66,1.6254
1976,3,2,2,64,0.0778
1976,3,2,3,51,3.7525
1976,3,2,4,59,0.9794
1976,3,2,5,65,2.6266
1976,3,3,1,85,1.5227
1976,3,3,2,108,3.7608
1976,3,3,3,105,0.7572
1976,3,3,4,95,4.6464
1976,3,3,5,86,4.3390
1976,4,1,1,161,-1.9335
1976,4,1,2,112,-1.5576
1976,4,1,3,97,-0.5464
1976,4,1,4,107,-2.5869
1976,4,1,5,156,-3.8318
1976,4,2,1,75,0.2461
1976,4,2,2,67,0.8820
1976,4,2,3,56,0.1770
1976,4,2,4,66,-0.8247
1976,4,2,5,71,-3.1042
1976,4,3,1,91,-0.3266
1976,4,3,2,112,1.6379
1976,4,3,3,110,0.8233
1976,4,3,4,98,-0.9966
1976,4,3,5,89,-4.5152
1976,5,1,1,252,-2.1017
1976,5,1,2,179,-2.0092
1976,5,1,3,153,-2.6399
1976,5,1,4,162,-2.2348
1976,5,1,5,190,-4.8483
1976,5,2,1,128,-1.2229
1976,5,2,2,96,0.7232
1976,5,2,3,92,-0.1733
1976,5,2,4,81,-1.1806
1976,5,2,5,88,-3.4207
1976,5,3,1,160,-2.1106
1976,5,3,2,159,-0.5069
1976,5,3,3,146,0.3226
1976,5,3,4,128,1.5982
1976,5,3,5,105,-2.6349
1976,6,1,1,262,2.8372
1976,6,1,2,190,5.2514
1976,6,1,3,164,3.5760
1976,6,1,4,172,4.4176
1976,6,1,5,215,3.1041
1976,6,2,1,136,5.3728
1976,6,2,2,103,3.3354
1976,6,2,3,105,5.8843
1976,6,2,4,88,5.6181
1976,6,2,5,94,3.3785
1976,6,3,1,166,4.5891
1976,6,3,2,162,4.0576
1976,6,3,3,153,2.9494
1976,6,3,4,134,3.7061
1976,6,3,5,114,4.4472
1976,7,1,1,264,-0.0135
1976,7,1,2,196,0.2627
1976,7,1,3,167,-0.2795
1976,7,1,4,182,-0.1200
1976,7,1,5,225,-0.4539
1976,7,2,1,139,-1.7123
1976,7,2,2,107,-0.1988
1976,7,2,3,107,-1.0442
1976,7,2,4,89,-0.1835
1976,7,2,5,102,-0.1073
1976,7,3,1,167,-0.5747
1976,7,3,2,165,-0.8864
1976,7,3,3,157,-1.8569
1976,7,3,4,138,-1.1463
1976,7,3,5,118,-1.5498
1976,8,1,1,359,-3.1219
1976,8,1,2,286,-3.8190
1976,8,1,3,256,-3.4562
1976,8,1,4,282,-3.5312
1976,8,1,5,312,-2.5125
1976,8,2,1,184,-2.4864
1976,8,2,2,154,-3.7991
1976,8,2,3,149,-2.3033
1976,8,2,4,139,-1.6557
1976,8,2,5,145,-2.3195
1976,8,3,1,211,0.4342
1976,8,3,2,214,0.1740
1976,8,3,3,217,-1.7071
1976,8,3,4,199,-0.2747
1976,8,3,5,171,0.0604
1976,9,1,1,326,2.4893
1976,9,1,2,260,2.1391
1976,9,1,3,229,2.3072
1976,9,1,4,251,1.7703
1976,9,1,5,284,1.7814
1976,9,2,1,194,3.3568
1976,9,2,2,165,3.5573
1976,9,2,3,159,3.3707
1976,9,2,4,150,3.1167
1976,9,2,5,148,2.0594
1976,9,3,1,216,2.2638
1976,9,3,2,219,3.5768
1976,9,3,3,227,3.2359
1976,9,3,4,208,3.0435
1976,9,3,5,177,0.1710
1976,10,1,1,400,-2.6910
1976,10,1,2,320,-2.4895
1976,10,1,3,299,-1.1911
1976,10,1,4,313,-1.9642
1976,10,1,5,343,-3.4837
1976,10,2,1,204,-2.2475
1976,10,2,2,174,-2.6035
1976,10,2,3,167,-2.8482
1976,10,2,4,158,-1.9510
1976,10,2,5,158,-3.7257
1976,10,3,1,220,-1.6883
1976,10,3,2,231,-1.1588
1976,10,3,3,233,-2.0407
1976,10,3,4,218,-2.6184
1976,10,3,5,181,-2.8175
1976,11,1,1,447,2.2109
1976,11,1,2,352,1.3296
1976,11,1,3,347,1.9202
1976,11,1,4,351,3.6988
1976,11,1,5,385,3.5876
1976,11,2,1,216,5.2215
1976,11,2,2,200,4.5536
1976,11,2,3,181,4.5529
1976,11,2,4,174,3.7888
1976,11,2,5,165,4.0725
1976,11,3,1,244,1.1487
1976,11,3,2,258,1.1560
1976,11,3,3,262,-0.2286
1976,11,3,4,237,-0.0928
1976,11,3,5,190,0.0546
1976,12,1,1,468,10.7543
1976,12,1,2,367,10.2927
1976,12,1,3,359,10.5555
1976,12,1,4,365,11.3676
1976,12,1,5,405,9.9868
1976,12,2,1,233,7.9357
1976,12,2,2,210,8.2457
1976,12,2,3,187,10.4083
1976,12,2,4,182,9.7864
1976,12,2,5,176,9.7225
1976,12,3,1,248,5.2710
1976,12,3,2,261,5.7807
1976,12,3,3,269,6.4344
1976,12,3,4,243,6.0019
1976,12,3,5,193,3.5846
1977,1,1,1,451,4.6724
1977,1,1,2,367,7.1507
1977,1,1,3,354,5.6417
1977,1,1,4,364,2.9557
1977,1,1,5,407,2.6765
1977,1,2,1,224,3.0698
1977,1,2,2,211,2.8450
1977,1,2,3,184,2.2437
1977,1,2,4,180,0.4097
1977,1,2,5,174,-0.7263
1977,1,3,1,231,-3.1316
1977,1,3,2,258,-2.9496
1977,1,3,3,267,-4.7098
1977,1,3,4,243,-5.3470
1977,1,3,5,190,-7.5166
1977,2,1,1,455,-0.9082
1977,2,1,2,392,-1.2606
1977,2,1,3,375,0.1129
1977,2,1,4,388,-0.9209
1977,2,1,5,417,-1.1494
1977,2,2,1,230,-0.6440
1977,2,2,2,223,-0.7635
1977,2,2,3,200,-1.7721
1977,2,2,4,189,-0.4426
1977,2,2,5,180,-2.3810
1977,2,3,1,239,-0.9820
1977,2,3,2,274,-1.6672
1977,2,3,3,277,-2.1644
1977,2,3,4,256,-2.0555
1977,2,3,5,192,-1.1211
1977,3,1,1,462,2.4881
1977,3,1,2,407,1.5904
1977,3,1,3,386,0.1933
1977,3,1,4,405,0.9229
1977,3,1,5,432,-0.5571
1977,3,2,1,232,-0.3675
1977,3,2,2,228,-0.1248
1977,3,2,3,205,2.1661
1977,3,2,4,198,0.2878
1977,3,2,5,182,-1.6426
1977,3,3,1,234,-1.0164
1977,3,3,2,278,-1.5440
1977,3,3,3,278,-1.2896
1977,3,3,4,256,-2.1538
1977,3,3,5,192,-1.7275
1977,4,1,1,439,0.8796
1977,4,1,2,397,1.7912
1977,4,1,3,376,1.4497
1977,4,1,4,406,1.8385
1977,4,1,5,429,1.4008
1977,4,2,1,218,1.6137
1977,4,2,2,224,2.0508
1977,4,2,3,206,2.5632
1977,4,2,4,195,2.0608
1977,4,2,5,186,1.0588
1977,4,3,1,231,2.0053
1977,4,3,2,271,0.9170
1977,4,3,3,272,1.9273
1977,4,3,4,257,-0.2146
1977,4,3,5,192,-3.9994
1977,5,1,1,466,-0.1441
1977,5,1,2,439,0.4862
1977,5,1,3,409,-0.2206
1977,5,1,4,422,0.1382
1977,5,1,5,443,-0.1296
1977,5,2,1,229,0.3572
1977,5,2,2,242,0.2991
1977,5,2,3,219,-0.2678
1977,5,2,4,206,-0.9536
1977,5,2,5,196,-0.7726
1977,5,3,1,239,-0.6109
1977,5,3,2,283,-1.9783
1977,5,3,3,289,-1.4795
1977,5,3,4,274,-2.1581
1977,5,3,5,195,-2.3578
1977,6,1,1,465,8.6092
1977,6,1,2,437,8.8500
1977,6,1,3,412,6.7684
1977,6,1,4,439,7.2963
1977,6,1,5,439,6.7965
1977,6,2,1,232,8.0411
1977,6,2,2,241,8.6231
1977,6,2,3,219,7.5874
1977,6,2,4,207,6.4193
1977,6,2,5,200,6.8506
1977,6,3,1,233,2.9181
1977,6,3,2,282,3.8841
1977,6,3,3,287,4.2177
1977,6,3,4,274,5.6482
1977,6,3,5,191,7.2701
1977,7,1,1,410,-1.5608
1977,7,1,2,388,-0.5894
1977,7,1,3,387,-0.5347
1977,7,1,4,416,-0.4767
1977,7,1,5,425,0.5762
1977,7,2,1,193,-1.7380
1977,7,2,2,215,-1.3121
1977,7,2,3,202,-1.9805
1977,7,2,4,204,-1.4787
1977,7,2,5,190,-0.6245
1977,7,3,1,193,-2.1965
1977,7,3,2,231,-3.4805
1977,7,3,3,254,-2.6424
1977,7,3,4,235,-1.5215
1977,7,3,5,180,0.0541
1977,8,1,1,419,-1.8593
1977,8,1,2,411,-2.5523
1977,8,1,3,412,-2.1723
1977,8,1,4,441,-1.9929
1977,8,1,5,431,-0.3935
1977,8,2,1,200,-3.3081
1977,8,2,2,231,-1.8382
1977,8,2,3,223,-0.9775
1977,8,2,4,217,-1.2774
1977,8,2,5,192,2.7931
1977,8,3,1,266,-3.1578
1977,8,3,2,257,-3.4056
1977,8,3,3,263,-3.0735
1977,8,3,4,238,1.0269
1977,8,3,5,181,1.9366
1977,9,1,1,416,1.1983
1977,9,1,2,405,1.7104
1977,9,1,3,409,1.0388
1977,9,1,4,446,1.2817
1977,9,1,5,435,1.4346
1977,9,2,1,201,0.4935
1977,9,2,2,238,1.4297
1977,9,2,3,223,2.7495
1977,9,2,4,216,1.2169
1977,9,2,5,194,0.1343
1977,9,3,1,266,1.0312
1977,9,3,2,258,0.2524
1977,9,3,3,264,0.0974
1977,9,3,4,235,-0.6409
1977,9,3,5,186,-1.2494
1977,10,1,1,396,-3.1849
1977,10,1,2,387,-2.7490
1977,10,1,3,388,-2.2671
1977,10,1,4,435,-3.3641
1977,10,1,5,428,-1.9205
1977,10,2,1,194,-3.9989
1977,10,2,2,233,-3.3943
1977,10,2,3,220,-3.0066
1977,10,2,4,209,-2.3890
1977,10,2,5,193,-2.5941
1977,10,3,1,258,-4.2958
1977,10,3,2,251,-4.4964
1977,10,3,3,254,-3.8094
1977,10,3,4,228,-4.5112
1977,10,3,5,185,-3.3950
1977,11,1,1,405,8.4304
1977,11,1,2,410,9.1095
1977,11,1,3,413,11.2783
1977,11,1,4,451,9.7193
1977,11,1,5,448,9.9104
1977,11,2,1,205,8.6793
1977,11,2,2,250,9.2998
1977,11,2,3,237,8.6225
1977,11,2,4,217,9.6991
1977,11,2,5,194,9.2256
1977,11,3,1,272,3.2928
1977,11,3,2,270,4.2970
1977,11,3,3,262,3.3976
1977,11,3,4,238,4.2974
1977,11,3,5,185,4.2058
1977,12,1,1,407,1.9948
1977,12,1,2,412,3.2929
1977,12,1,3,410,0.6495
1977,12,1,4,456,1.4035
1977,12,1,5,445,2.7426
1977,12,2,1,203,1.3792
1977,12,2,2,250,2.2353
1977,12,2,3,240,1.1222
1977,12,2,4,217,1.1763
1977,12,2,5,199,1.4523
1977,12,3,1,269,1.0488
1977,12,3,2,268,0.2307
1977,12,3,3,261,1.3743
1977,12,3,4,236,-0.1314
1977,12,3,5,184,0.8653
1978,1,1,1,382,0.6873
1978,1,1,2,405,-0.9944
1978,1,1,3,390,-1.7126
1978,1,1,4,444,-2.0608
1978,1,1,5,431,-2.3726
1978,1,2,1,197,-2.0709
1978,1,2,2,245,-3.7487
1978,1,2,3,233,-4.3481
1978,1,2,4,213,-5.4467
1978,1,2,5,201,-5.0275
1978,1,3,1,260,-4.7288
1978,1,3,2,266,-7.2917
1978,1,3,3,250,-6.7555
1978,1,3,4,227,-6.0076
1978,1,3,5,180,-4.8562
1978,2,1,1,386,2.5952
1978,2,1,2,417,1.9966
1978,2,1,3,404,3.5850
1978,2,1,4,466,3.7270
1978,2,1,5,434,2.8330
1978,2,2,1,198,1.1488
1978,2,2,2,253,1.9409
1978,2,2,3,240,2.5389
1978,2,2,4,216,2.0586
1978,2,2,5,202,1.3440
1978,2,3,1,261,0.2652
1978,2,3,2,287,-1.2975
1978,2,3,3,260,-1.9337
1978,2,3,4,230,-1.8473
1978,2,3,5,181,-2.7978
1978,3,1,1,378,7.7736
1978,3,1,2,410,6.5684
1978,3,1,3,403,9.0329
1978,3,1,4,469,8.2097
1978,3,1,5,435,8.3898
1978,3,2,1,195,4.4324
1978,3,2,2,254,6.3766
1978,3,2,3,235,7.4889
1978,3,2,4,218,6.6348
1978,3,2,5,202,6.6526
1978,3,3,1,261,3.1386
1978,3,3,2,286,4.1081
1978,3,3,3,262,3.1650
1978,3,3,4,232,2.8444
1978,3,3,5,183,0.7112
1978,4,1,1,350,6.5363
1978,4,1,2,394,7.4281
1978,4,1,3,397,8.1030
1978,4,1,4,459,8.6720
1978,4,1,5,428,9.2890
1978,4,2,1,186,4.9617
1978,4,2,2,243,6.9384
1978,4,2,3,223,8.4105
1978,4,2,4,211,9.2686
1978,4,2,5,198,9.5327
1978,4,3,1,243,3.4747
1978,4,3,2,271,7.3021
1978,4,3,3,244,9.3124
1978,4,3,4,229,11.5871
1978,4,3,5,182,11.0268
1978,5,1,1,357,5.3725
1978,5,1,2,409,6.7721
1978,5,1,3,430,9.0352
1978,5,1,4,474,8.3940
1978,5,1,5,425,8.7403
1978,5,2,1,184,3.3447
1978,5,2,2,241,6.4052
1978,5,2,3,236,5.8701
1978,5,2,4,220,5.7759
1978,5,2,5,201,7.3414
1978,5,3,1,256,1.4218
1978,5,3,2,276,0.3070
1978,5,3,3,252,2.3460
1978,5,3,4,238,2.7129
1978,5,3,5,187,2.0792
1978,6,1,1,357,-0.5965
1978,6,1,2,402,0.4664
1978,6,1,3,421,-0.2410
1978,6,1,4,477,0.6596
1978,6,1,5,421,0.1052
1978,6,2,1,184,0.2121
1978,6,2,2,242,1.5660
1978,6,2,3,239,-0.6973
1978,6,2,4,218,0.4491
1978,6,2,5,202,-1.1979
1978,6,3,1,255,-0.7024
1978,6,3,2,274,-1.9815
1978,6,3,3,251,-2.9824
1978,6,3,4,240,-1.1056
1978,6,3,5,190,-0.1914
1978,7,1,1,305,5.3938
1978,7,1,2,369,6.0941
1978,7,1,3,394,6.2351
1978,7,1,4,465,6.6114
1978,7,1,5,405,5.7176
1978,7,2,1,161,5.8712
1978,7,2,2,233,8.7810
1978,7,2,3,229,6.3380
1978,7,2,4,207,6.0047
1978,7,2,5,192,6.0790
1978,7,3,1,231,4.8058
1978,7,3,2,261,4.1183
1978,7,3,3,243,5.5940
1978,7,3,4,228,6.8044
1978,7,3,5,188,7.3296
1978,8,1,1,313,7.7810
1978,8,1,2,383,10.6102
1978,8,1,3,420,9.9839
1978,8,1,4,472,9.5312
1978,8,1,5,416,10.3041
1978,8,2,1,165,6.5749
1978,8,2,2,244,7.4862
1978,8,2,3,243,9.2117
1978,8,2,4,220,8.3626
1978,8,2,5,197,11.6347
1978,8,3,1,239,2.0943
1978,8,3,2,271,4.0539
1978,8,3,3,252,4.2313
1978,8,3,4,237,2.7343
1978,8,3,5,198,3.5310
1978,9,1,1,308,-0.0973
1978,9,1,2,386,-1.0037
1978,9,1,3,421,0.1566
1978,9,1,4,466,-1.3255
1978,9,1,5,420,-1.4755
1978,9,2,1,166,-1.0116
1978,9,2,2,243,0.5725
1978,9,2,3,243,-2.2117
1978,9,2,4,223,-2.9479
1978,9,2,5,203,-2.3752
1978,9,3,1,236,0.2645
1978,9,3,2,263,1.1082
1978,9,3,3,254,0.5450
1978,9,3,4,233,-1.8953
1978,9,3,5,198,-3.5594
1978,10,1,1,302,-21.3973
1978,10,1,2,376,-23.2323
1978,10,1,3,407,-25.4908
1978,10,1,4,451,-25.0786
1978,10,1,5,413,-24.5535
1978,10,2,1,155,-16.7981
1978,10,2,2,228,-22.0519
1978,10,2,3,241,-21.7343
1978,10,2,4,219,-20.2740
1978,10,2,5,206,-20.8017
1978,10,3,1,231,-9.1187
1978,10,3,2,252,-9.2709
1978,10,3,3,244,-10.8620
1978,10,3,4,229,-10.0105
1978,10,3,5,193,-8.8551
1978,11,1,1,317,4.3048
1978,11,1,2,390,8.2371
1978,11,1,3,427,8.0580
1978,11,1,4,473,8.7487
1978,11,1,5,416,8.6620
1978,11,2,1,158,4.2345
1978,11,2,2,235,7.6889
1978,11,2,3,254,7.0554
1978,11,2,4,226,6.8106
1978,11,2,5,211,8.3481
1978,11,3,1,240,3.4748
1978,11,3,2,262,3.4288
1978,11,3,3,253,3.3097
1978,11,3,4,237,3.1342
1978,11,3,5,198,2.8139
1978,12,1,1,318,-1.4923
1978,12,1,2,390,-0.4086
1978,12,1,3,426,1.0764
1978,12,1,4,472,1.6275
1978,12,1,5,410,1.6740
1978,12,2,1,164,0.5675
1978,12,2,2,235,2.6134
1978,12,2,3,252,1.5257
1978,12,2,4,236,2.3214
1978,12,2,5,216,3.0874
1978,12,3,1,239,-0.4479
1978,12,3,2,259,0.9486
1978,12,3,3,253,1.8677
1978,12,3,4,237,0.9865
1978,12,3,5,195,4.4509
1979,1,1,1,302,11.1302
1979,1,1,2,383,11.1754
1979,1,1,3,406,11.0171
1979,1,1,4,465,10.0662
1979,1,1,5,394,10.4260
1979,1,2,1,167,8.4281
1979,1,2,2,227,8.0162
1979,1,2,3,248,9.9968
1979,1,2,4,237,7.9515
1979,1,2,5,216,7.2335
1979,1,3,1,236,6.7744
1979,1,3,2,253,4.7326
1979,1,3,3,250,4.1591
1979,1,3,4,234,3.5129
1979,1,3,5,192,3.1634
1979,2,1,1,307,-1.1286
1979,2,1,2,393,-1.3216
1979,2,1,3,418,-2.9790
1979,2,1,4,469,-2.4129
1979,2,1,5,391,-2.9568
1979,2,2,1,170,-1.6547
1979,2,2,2,224,-0.3772
1979,2,2,3,260,-3.4549
1979,2,2,4,238,-3.2616
1979,2,2,5,211,-4.5575
1979,2,3,1,239,-2.3477
1979,2,3,2,251,-1.3949
1979,2,3,3,257,-2.2035
1979,2,3,4,240,-4.0543
1979,2,3,5,191,-4.1386
1979,3,1,1,304,9.0928
1979,3,1,2,390,9.4919
1979,3,1,3,417,9.2856
1979,3,1,4,468,9.4837
1979,3,1,5,387,9.0958
1979,3,2,1,169,9.0221
1979,3,2,2,222,11.3391
1979,3,2,3,259,10.7543
1979,3,2,4,236,10.0271
1979,3,2,5,212,10.6868
1979,3,3,1,234,3.2600
1979,3,3,2,250,7.5660
1979,3,3,3,254,7.9402
1979,3,3,4,238,6.5923
1979,3,3,5,193,4.5106
1979,4,1,1,295,3.9145
1979,4,1,2,374,3.0257
1979,4,1,3,407,2.7928
1979,4,1,4,450,2.3046
1979,4,1,5,375,0.9640
1979,4,2,1,169,1.2729
1979,4,2,2,216,2.2667
1979,4,2,3,247,4.2965
1979,4,2,4,232,3.6394
1979,4,2,5,203,1.3166
1979,4,3,1,225,-2.6033
1979,4,3,2,236,0.9424
1979,4,3,3,239,2.0392
1979,4,3,4,234,0.6265
1979,4,3,5,190,0.3673
1979,5,1,1,307,-1.4877
1979,5,1,2,396,-0.8653
1979,5,1,3,421,-0.6686
1979,5,1,4,464,-0.5753
1979,5,1,5,380,-1.2815
1979,5,2,1,175,1.0000
1979,5,2,2,226,-0.8411
1979,5,2,3,258,-1.2787
1979,5,2,4,243,-1.3604
1979,5,2,5,203,-3.1242
1979,5,3,1,231,0.2626
1979,5,3,2,242,-1.8883
1979,5,3,3,249,-2.1164
1979,5,3,4,239,-1.9647
1979,5,3,5,195,-2.2397
1979,6,1,1,310,8.1887
1979,6,1,2,393,6.5889
1979,6,1,3,423,5.8563
1979,6,1,4,465,4.9330
1979,6,1,5,374,2.4817
1979,6,2,1,176,8.4544
1979,6,2,2,221,7.4565
1979,6,2,3,256,3.1151
1979,6,2,4,249,3.2895
1979,6,2,5,206,2.5015
1979,6,3,1,234,4.3096
1979,6,3,2,241,6.2254
1979,6,3,3,252,5.4534
1979,6,3,4,240,3.5791
1979,6,3,5,196,0.9564
1979,7,1,1,287,1.9342
1979,7,1,2,369,2.5933
1979,7,1,3,398,2.1899
1979,7,1,4,449,2.1534
1979,7,1,5,357,2.2538
1979,7,2,1,167,3.7038
1979,7,2,2,214,3.3772
1979,7,2,3,236,4.5385
1979,7,2,4,240,2.4218
1979,7,2,5,202,2.2645
1979,7,3,1,222,1.2627
1979,7,3,2,240,2.2958
1979,7,3,3,241,2.4588
1979,7,3,4,227,0.8780
1979,7,3,5,191,-0.9602
1979,8,1,1,303,8.5724
1979,8,1,2,372,8.0651
1979,8,1,3,416,7.2946
1979,8,1,4,465,8.1138
1979,8,1,5,363,9.2552
1979,8,2,1,168,7.0782
1979,8,2,2,226,7.7450
1979,8,2,3,239,8.4041
1979,8,2,4,248,8.7052
1979,8,2,5,206,10.1278
1979,8,3,1,229,3.3228
1979,8,3,2,250,7.5231
1979,8,3,3,252,6.5625
1979,8,3,4,228,7.3934
1979,8,3,5,192,6.6701
1979,9,1,1,294,0.8655
1979,9,1,2,369,1.3280
1979,9,1,3,411,-1.2706
1979,9,1,4,461,-1.5567
1979,9,1,5,369,-1.2687
1979,9,2,1,168,0.4258
1979,9,2,2,225,1.0837
1979,9,2,3,240,-1.7627
1979,9,2,4,247,-0.3806
1979,9,2,5,205,1.1161
1979,9,3,1,229,-1.6435
1979,9,3,2,249,2.4343
1979,9,3,3,249,2.3952
1979,9,3,4,230,-0.2713
1979,9,3,5,187,-2.1649
1979,10,1,1,288,-9.8848
1979,10,1,2,354,-10.9965
1979,10,1,3,395,-11.3089
1979,10,1,4,444,-11.1370
1979,10,1,5,357,-9.7034
1979,10,2,1,162,-8.1393
1979,10,2,2,217,-10.0758
1979,10,2,3,232,-11.3698
1979,10,2,4,234,-10.8101
1979,10,2,5,201,-8.5063
1979,10,3,1,221,-6.1691
1979,10,3,2,241,-6.5168
1979,10,3,3,241,-4.9503
1979,10,3,4,222,-7.1214
1979,10,3,5,186,-7.5350
1979,11,1,1,296,9.5987
1979,11,1,2,373,8.0839
1979,11,1,3,413,8.2850
1979,11,1,4,454,9.1245
1979,11,1,5,374,7.2686
1979,11,2,1,166,9.3704
1979,11,2,2,223,10.5843
1979,11,2,3,241,8.3472
1979,11,2,4,248,7.2712
1979,11,2,5,207,8.4773
1979,11,3,1,225,6.1398
1979,11,3,2,253,7.0106
1979,11,3,3,261,5.5779
1979,11,3,4,230,4.7081
1979,11,3,5,189,5.6464
1979,12,1,1,297,8.0174
1979,12,1,2,375,7.5936
1979,12,1,3,410,6.6109
1979,12,1,4,451,8.6285
1979,12,1,5,375,8.0035
1979,12,2,1,170,4.6724
1979,12,2,2,228,9.1859
1979,12,2,3,244,7.0699
1979,12,2,4,252,6.4662
1979,12,2,5,212,4.6917
1979,12,3,1,227,0.5262
1979,12,3,2,254,4.2287
1979,12,3,3,263,2.4419
1979,12,3,4,232,2.4137
1979,12,3,5,189,1.2869
1980,1,1,1,284,10.1481
1980,1,1,2,356,12.0715
1980,1,1,3,386,12.6224
1980,1,1,4,441,10.9640
1980,1,1,5,366,7.0331
1980,1,2,1,171,8.0115
1980,1,2,2,227,9.9309
1980,1,2,3,237,6.3794
1980,1,2,4,243,8.0066
1980,1,2,5,210,3.7167
1980,1,3,1,219,3.7076
1980,1,3,2,250,10.7947
1980,1,3,3,252,9.7876
1980,1,3,4,225,5.1046
1980,1,3,5,187,1.7566
1980,2,1,1,290,-2.1668
1980,2,1,2,372,-0.1400
1980,2,1,3,404,-2.5674
1980,2,1,4,446,-1.5252
1980,2,1,5,364,-2.7830
1980,2,2,1,171,-0.5921
1980,2,2,2,238,1.4465
1980,2,2,3,244,-2.4742
1980,2,2,4,245,-4.0491
1980,2,2,5,211,-2.3470
1980,2,3,1,226,-1.5739
1980,2,3,2,261,3.2161
1980,2,3,3,266,4.9293
1980,2,3,4,234,-1.6287
1980,2,3,5,189,-4.9625
1980,3,1,1,290,-19.5361
1980,3,1,2,366,-19.3176
1980,3,1,3,406,-19.9457
1980,3,1,4,444,-17.9295
1980,3,1,5,365,-17.6988
1980,3,2,1,167,-15.6614
1980,3,2,2,238,-20.0317
1980,3,2,3,251,-17.4952
1980,3,2,4,243,-16.7799
1980,3,2,5,212,-15.2146
1980,3,3,1,226,-7.5142
1980,3,3,2,261,-14.7790
1980,3,3,3,269,-13.2991
1980,3,3,4,237,-10.2441
1980,3,3,5,188,-7.0667
1980,4,1,1,276,7.2626
1980,4,1,2,353,5.5159
1980,4,1,3,381,5.5578
1980,4,1,4,424,5.4330
1980,4,1,5,356,7.4117
1980,4,2,1,164,10.7796
1980,4,2,2,233,5.9868
1980,4,2,3,242,4.5737
1980,4,2,4,239,5.0190
1980,4,2,5,208,3.9004
1980,4,3,1,217,8.6656
1980,4,3,2,251,5.8512
1980,4,3,3,259,3.8378
1980,4,3,4,231,3.8972
1980,4,3,5,187,2.2033
1980,5,1,1,280,7.2194
1980,5,1,2,368,5.5753
1980,5,1,3,393,5.0652
1980,5,1,4,436,5.9490
1980,5,1,5,360,8.3254
1980,5,2,1,170,7.4747
1980,5,2,2,247,8.6700
1980,5,2,3,252,8.0900
1980,5,2,4,245,8.8861
1980,5,2,5,210,8.7695
1980,5,3,1,228,4.3560
1980,5,3,2,263,6.1073
1980,5,3,3,265,5.3205
1980,5,3,4,239,6.1800
1980,5,3,5,187,6.3156
1980,6,1,1,280,4.3085
1980,6,1,2,364,4.1850
1980,6,1,3,396,2.9205
1980,6,1,4,431,3.3656
1980,6,1,5,360,3.5256
1980,6,2,1,168,5.4855
1980,6,2,2,248,4.7028
1980,6,2,3,251,4.8500
1980,6,2,4,248,3.3818
1980,6,2,5,211,2.7590
1980,6,3,1,229,2.5855
1980,6,3,2,262,4.7356
1980,6,3,3,266,4.4123
1980,6,3,4,240,1.9069
1980,6,3,5,187,1.9624
1980,7,1,1,264,8.3710
1980,7,1,2,345,12.3204
1980,7,1,3,375,11.4320
1980,7,1,4,416,11.7184
1980,7,1,5,354,14.2587
1980,7,2,1,162,4.0108
1980,7,2,2,234,9.8096
1980,7,2,3,236,12.8247
1980,7,2,4,242,14.0947
1980,7,2,5,208,15.1232
1980,7,3,1,216,2.4449
1980,7,3,2,254,6.4001
1980,7,3,3,255,6.5318
1980,7,3,4,229,8.8842
1980,7,3,5,179,11.3127
1980,8,1,1,269,5.4312
1980,8,1,2,353,6.4612
1980,8,1,3,399,8.9120
1980,8,1,4,433,9.2603
1980,8,1,5,355,8.9332
1980,8,2,1,171,0.7271
1980,8,2,2,239,7.0467
1980,8,2,3,241,5.5970
1980,8,2,4,253,4.6549
1980,8,2,5,215,7.6573
1980,8,3,1,220,0.8184
1980,8,3,2,263,2.6136
1980,8,3,3,264,2.0502
1980,8,3,4,242,1.8198
1980,8,3,5,180,0.8730
1980,9,1,1,270,4.3564
1980,9,1,2,344,2.3826
1980,9,1,3,404,2.1164
1980,9,1,4,434,3.6398
1980,9,1,5,354,3.9377
1980,9,2,1,169,2.2561
1980,9,2,2,238,3.3278
1980,9,2,3,242,2.8506
1980,9,2,4,258,4.1147
1980,9,2,5,219,4.1427
1980,9,3,1,218,-0.3955
1980,9,3,2,264,3.5861
1980,9,3,3,264,4.9535
1980,9,3,4,239,3.5831
1980,9,3,5,184,1.3540
