year,month,rank_ME,rank_RNAq_6,nstocks,ret_vw
1976,1,1,1,89,23.7944
1976,1,1,2,57,23.8926
1976,1,1,3,65,26.2749
1976,1,1,4,42,24.3435
1976,1,1,5,60,27.5933
1976,1,2,1,32,23.8488
1976,1,2,2,24,18.9412
1976,1,2,3,42,18.6985
1976,1,2,4,43,21.3216
1976,1,2,5,34,20.3800
1976,1,3,1,33,19.2123
1976,1,3,2,49,14.4814
1976,1,3,3,49,12.3222
1976,1,3,4,60,17.8465
1976,1,3,5,74,8.2584
1976,2,1,1,131,14.8527
1976,2,1,2,93,15.3198
1976,2,1,3,101,10.4029
1976,2,1,4,78,14.9936
1976,2,1,5,78,12.8637
1976,2,2,1,50,9.6819
1976,2,2,2,55,10.7375
1976,2,2,3,61,5.4810
1976,2,2,4,66,5.2764
1976,2,2,5,54,9.0142
1976,2,3,1,52,3.9515
1976,2,3,2,70,1.0928
1976,2,3,3,82,0.9680
1976,2,3,4,86,0.7393
1976,2,3,5,109,-2.2529
1976,3,1,1,156,2.9831
1976,3,1,2,115,-0.0944
1976,3,1,3,115,1.8078
1976,3,1,4,94,1.7987
1976,3,1,5,103,0.6227
1976,3,2,1,54,3.9662
1976,3,2,2,59,0.3811
1976,3,2,3,65,1.4809
1976,3,2,4,74,1.9041
1976,3,2,5,61,1.6852
1976,3,3,1,59,4.4387
1976,3,3,2,75,1.4402
1976,3,3,3,91,4.5856
1976,3,3,4,92,-0.0676
1976,3,3,5,117,5.2866
1976,4,1,1,158,-4.4665
1976,4,1,2,121,-0.4779
1976,4,1,3,120,-1.9365
1976,4,1,4,101,-1.2880
1976,4,1,5,114,-2.8893
1976,4,2,1,63,1.8538
1976,4,2,2,64,-2.1006
1976,4,2,3,71,1.1913
1976,4,2,4,76,-1.4064
1976,4,2,5,70,-2.0997
1976,4,3,1,61,1.6360
1976,4,3,2,77,-1.5186
1976,4,3,3,93,0.7749
1976,4,3,4,99,-0.5551
1976,4,3,5,125,-1.7945
1976,5,1,1,215,-3.8683
