year,month,rank_ME,rank_ATOq_12,nstocks,ret_vw
1972,1,1,1,24,15.7551
1972,1,1,2,17,16.5916
1972,1,1,3,12,13.9238
1972,1,1,4,12,13.5063
1972,1,1,5,16,11.0682
1972,1,2,1,8,9.3568
1972,1,2,2,7,10.7182
1972,1,2,3,11,6.4443
1972,1,2,4,6,6.3384
1972,1,2,5,9,4.8389
1972,1,3,1,7,7.0797
1972,1,3,2,9,5.8062
1972,1,3,3,7,5.1856
1972,1,3,4,13,2.0202
1972,1,3,5,6,-1.0055
1972,2,1,1,31,3.4376
1972,2,1,2,20,2.1459
1972,2,1,3,18,3.7642
1972,2,1,4,20,7.1714
1972,2,1,5,23,4.9840
1972,2,2,1,11,1.5117
1972,2,2,2,11,-0.1686
1972,2,2,3,19,2.1728
1972,2,2,4,15,8.7456
1972,2,2,5,13,1.3948
1972,2,3,1,15,4.7905
1972,2,3,2,15,-0.0817
1972,2,3,3,14,6.2107
1972,2,3,4,17,6.4373
1972,2,3,5,10,6.6373
1972,3,1,1,35,-1.2051
1972,3,1,2,28,-0.4557
1972,3,1,3,23,-0.7055
1972,3,1,4,31,1.1278
1972,3,1,5,29,-2.7205
1972,3,2,1,15,-1.6252
1972,3,2,2,13,-1.2069
1972,3,2,3,25,0.0826
1972,3,2,4,20,1.6698
1972,3,2,5,18,-2.9200
1972,3,3,1,21,-1.7464
1972,3,3,2,22,-0.7324
1972,3,3,3,18,2.1018
1972,3,3,4,25,1.5271
1972,3,3,5,14,-0.8779
1972,4,1,1,39,2.9509
1972,4,1,2,32,1.0344
1972,4,1,3,33,9.3397
1972,4,1,4,37,2.9717
1972,4,1,5,36,-3.6390
1972,4,2,1,17,1.7389
1972,4,2,2,14,4.6808
1972,4,2,3,28,1.5651
1972,4,2,4,23,-1.8751
1972,4,2,5,20,3.0526
1972,4,3,1,22,-0.2570
1972,4,3,2,25,-0.5174
1972,4,3,3,20,-0.1717
1972,4,3,4,26,1.0837
1972,4,3,5,17,0.0970
1972,5,1,1,64,-0.6193
1972,5,1,2,65,-2.6886
1972,5,1,3,87,-3.9569
1972,5,1,4,102,-2.0242
1972,5,1,5,93,-4.0460
1972,5,2,1,41,-0.3933
1972,5,2,2,44,-5.2777
1972,5,2,3,56,-4.0616
1972,5,2,4,68,-1.5907
1972,5,2,5,57,0.9719
1972,5,3,1,96,3.8933
1972,5,3,2,94,0.9199
1972,5,3,3,87,2.3572
1972,5,3,4,83,4.6206
1972,5,3,5,77,6.3041
1972,6,1,1,92,-4.2552
1972,6,1,2,78,-2.9001
1972,6,1,3,105,-2.7599
1972,6,1,4,128,-1.6959
1972,6,1,5,129,-4.4083
1972,6,2,1,51,-3.9394
1972,6,2,2,51,-3.2531
1972,6,2,3,66,-2.6810
1972,6,2,4,77,-2.9860
1972,6,2,5,73,-4.6479
1972,6,3,1,115,-3.7554
1972,6,3,2,109,-4.3559
1972,6,3,3,100,-2.1372
1972,6,3,4,95,-2.5096
1972,6,3,5,94,-1.9334
1972,7,1,1,95,-3.9690
1972,7,1,2,85,-3.9616
1972,7,1,3,108,-3.6399
1972,7,1,4,140,-4.0545
1972,7,1,5,147,-5.7630
1972,7,2,1,57,0.8431
1972,7,2,2,54,-5.3411
1972,7,2,3,70,-2.0778
1972,7,2,4,81,-2.6957
1972,7,2,5,82,-1.0814
1972,7,3,1,117,-1.3372
1972,7,3,2,113,-1.4017
1972,7,3,3,104,1.0516
1972,7,3,4,100,0.5988
1972,7,3,5,102,-0.6926
1972,8,1,1,97,2.7621
1972,8,1,2,90,3.0578
1972,8,1,3,119,0.6422
1972,8,1,4,148,0.0630
1972,8,1,5,156,-2.4627
1972,8,2,1,63,3.4580
1972,8,2,2,57,1.9207
1972,8,2,3,76,2.1054
1972,8,2,4,87,1.8839
1972,8,2,5,87,-1.5085
1972,8,3,1,120,7.2273
1972,8,3,2,114,3.2439
1972,8,3,3,108,0.9947
1972,8,3,4,108,2.0492
1972,8,3,5,106,3.8437
