year,month,rank_ME,rank_ALMq_12,nstocks,ret_vw
1976,1,1,1,9,17.5990
1976,1,1,2,43,23.2557
1976,1,1,3,55,22.4017
1976,1,1,4,95,26.0688
1976,1,1,5,164,25.2802
1976,1,2,1,28,16.7850
1976,1,2,2,44,15.1564
1976,1,2,3,37,21.5682
1976,1,2,4,49,19.0836
1976,1,2,5,51,26.4010
1976,1,3,1,114,13.1699
1976,1,3,2,79,8.4835
1976,1,3,3,70,14.7297
1976,1,3,4,36,17.5131
1976,1,3,5,19,25.5010
1976,2,1,1,13,11.8616
1976,2,1,2,63,12.4617
1976,2,1,3,89,13.0088
1976,2,1,4,130,15.0461
1976,2,1,5,208,14.1608
1976,2,2,1,38,5.2142
1976,2,2,2,69,7.6012
1976,2,2,3,63,9.4405
1976,2,2,4,80,7.4268
1976,2,2,5,66,8.8805
1976,2,3,1,135,-0.2893
1976,2,3,2,109,0.3106
1976,2,3,3,94,1.0150
1976,2,3,4,51,1.3863
1976,2,3,5,30,7.0408
1976,3,1,1,16,1.6060
1976,3,1,2,69,-1.3184
1976,3,1,3,108,2.0827
1976,3,1,4,143,1.8852
1976,3,1,5,227,0.9016
1976,3,2,1,43,0.1084
1976,3,2,2,73,-0.2306
1976,3,2,3,71,2.3105
1976,3,2,4,93,2.5082
1976,3,2,5,75,2.4825
1976,3,3,1,137,2.2471
1976,3,3,2,114,3.6178
1976,3,3,3,101,3.5172
1976,3,3,4,60,5.2066
1976,3,3,5,34,4.3820
1976,4,1,1,18,0.7540
1976,4,1,2,70,-2.0642
1976,4,1,3,113,-3.1914
1976,4,1,4,153,-2.7163
1976,4,1,5,232,-0.9066
1976,4,2,1,46,-1.4791
1976,4,2,2,77,0.6702
1976,4,2,3,74,-0.6712
1976,4,2,4,96,-1.7976
1976,4,2,5,80,-0.8396
1976,4,3,1,139,-1.8830
1976,4,3,2,116,-0.4642
1976,4,3,3,103,1.2464
1976,4,3,4,66,2.3305
1976,4,3,5,35,0.6002
1976,5,1,1,30,0.1154
1976,5,1,2,96,-0.9286
1976,5,1,3,144,-2.3884
1976,5,1,4,204,-3.0493
1976,5,1,5,288,-3.4518
1976,5,2,1,53,1.4628
