year,month,rank_ME,rank_RDMq_1,nstocks,ret_vw
1990,1,1,1,146,-6.9226
1990,1,1,2,119,-6.1801
1990,1,1,3,134,-10.1592
1990,1,1,4,132,-5.7486
1990,1,1,5,282,-6.6826
1990,1,2,1,35,-9.3914
1990,1,2,2,36,-7.0253
1990,1,2,3,39,-9.6846
1990,1,2,4,34,-9.1238
1990,1,2,5,25,-7.2520
1990,1,3,1,38,-7.8965
1990,1,3,2,31,-5.7754
1990,1,3,3,27,-8.0475
1990,1,3,4,16,-0.5961
1990,1,3,5,11,-4.4672
1990,2,1,1,158,4.6663
1990,2,1,2,122,2.0452
1990,2,1,3,105,2.7380
1990,2,1,4,166,2.2256
1990,2,1,5,263,2.6975
1990,2,2,1,35,4.0330
1990,2,2,2,33,3.8506
1990,2,2,3,30,9.7422
1990,2,2,4,38,9.0726
1990,2,2,5,22,5.9951
1990,2,3,1,36,-0.3244
1990,2,3,2,32,0.5900
1990,2,3,3,29,3.5273
1990,2,3,4,16,3.1461
1990,2,3,5,14,-0.3187
1990,3,1,1,146,3.2223
1990,3,1,2,107,4.4696
1990,3,1,3,115,1.9204
1990,3,1,4,181,5.3679
1990,3,1,5,263,4.9059
1990,3,2,1,36,8.9748
1990,3,2,2,35,6.4930
1990,3,2,3,26,3.5159
1990,3,2,4,46,4.7801
1990,3,2,5,21,8.7588
1990,3,3,1,33,4.0945
1990,3,3,2,38,3.2933
1990,3,3,3,28,6.5886
1990,3,3,4,18,4.5482
1990,3,3,5,12,3.1116
1990,4,1,1,138,2.7876
1990,4,1,2,121,-3.7307
1990,4,1,3,93,-3.9779
1990,4,1,4,170,-1.0777
1990,4,1,5,269,-2.6810
1990,4,2,1,39,-6.0557
1990,4,2,2,35,-0.9503
1990,4,2,3,35,-3.5180
1990,4,2,4,41,-1.3594
1990,4,2,5,24,-5.5774
1990,4,3,1,36,-1.0450
1990,4,3,2,39,-0.4754
1990,4,3,3,26,-3.3793
1990,4,3,4,20,-0.8725
1990,4,3,5,14,-1.6002
1990,5,1,1,155,2.3944
1990,5,1,2,148,4.8983
1990,5,1,3,159,8.4330
1990,5,1,4,172,6.3442
1990,5,1,5,293,6.7941
1990,5,2,1,67,9.9125
1990,5,2,2,56,10.4427
1990,5,2,3,50,13.0995
1990,5,2,4,68,10.9135
1990,5,2,5,37,11.7769
1990,5,3,1,60,9.7385
1990,5,3,2,60,8.3274
1990,5,3,3,45,8.8776
1990,5,3,4,30,11.1249
1990,5,3,5,33,7.6993
1990,6,1,1,154,3.1211
1990,6,1,2,126,4.0247
1990,6,1,3,157,1.4933
1990,6,1,4,181,1.7946
1990,6,1,5,297,0.7721
1990,6,2,1,65,0.8251
1990,6,2,2,58,-0.1929
1990,6,2,3,45,0.1705
1990,6,2,4,62,1.0708
1990,6,2,5,35,2.2084
1990,6,3,1,60,0.2556
1990,6,3,2,57,1.7259
1990,6,3,3,49,-2.3029
1990,6,3,4,34,-2.2262
1990,6,3,5,32,-3.5269
1990,7,1,1,155,-5.5273
1990,7,1,2,128,-4.5791
1990,7,1,3,141,-7.0039
1990,7,1,4,210,-6.5075
1990,7,1,5,266,-5.0799
1990,7,2,1,64,-4.1005
1990,7,2,2,59,-5.2612
1990,7,2,3,40,-6.4253
1990,7,2,4,57,-2.7520
1990,7,2,5,33,-6.6659
1990,7,3,1,59,1.0050
1990,7,3,2,53,3.8602
1990,7,3,3,53,0.3960
1990,7,3,4,34,-5.9935
1990,7,3,5,33,-1.9101
1990,8,1,1,127,-15.3116
1990,8,1,2,88,-15.6403
1990,8,1,3,112,-12.9991
1990,8,1,4,164,-15.1804
1990,8,1,5,265,-14.4231
1990,8,2,1,44,-12.9918
1990,8,2,2,32,-15.6334
1990,8,2,3,43,-15.3740
1990,8,2,4,40,-19.1685
1990,8,2,5,24,-17.2600
1990,8,3,1,39,-7.9623
1990,8,3,2,30,-9.2101
1990,8,3,3,26,-12.6011
1990,8,3,4,23,-8.8176
1990,8,3,5,13,-10.6035
1990,9,1,1,129,-8.8105
1990,9,1,2,97,-9.2500
1990,9,1,3,116,-11.2849
1990,9,1,4,175,-14.1150
1990,9,1,5,247,-10.2228
1990,9,2,1,42,-8.6117
1990,9,2,2,34,-14.3127
1990,9,2,3,38,-9.4268
1990,9,2,4,31,-10.7346
1990,9,2,5,25,-12.6538
1990,9,3,1,42,-4.6912
1990,9,3,2,29,-5.8314
1990,9,3,3,27,-2.4496
1990,9,3,4,19,-13.7146
1990,9,3,5,13,-14.1595
1990,10,1,1,115,-1.7186
1990,10,1,2,118,-4.3715
1990,10,1,3,119,-6.4849
1990,10,1,4,182,-4.9158
1990,10,1,5,238,-6.2960
1990,10,2,1,34,-5.3460
1990,10,2,2,35,-4.1031
1990,10,2,3,39,-4.5282
1990,10,2,4,32,0.4700
1990,10,2,5,26,-8.2963
1990,10,3,1,44,1.5629
1990,10,3,2,28,1.3298
1990,10,3,3,28,2.4882
1990,10,3,4,22,-8.4866
1990,10,3,5,12,-10.6028
1990,11,1,1,135,5.8811
1990,11,1,2,125,4.9363
1990,11,1,3,114,7.0037
1990,11,1,4,191,6.3602
1990,11,1,5,234,6.2663
1990,11,2,1,40,12.0339
1990,11,2,2,43,7.9352
1990,11,2,3,42,16.4984
1990,11,2,4,39,14.8732
1990,11,2,5,27,13.0697
1990,11,3,1,48,10.2823
1990,11,3,2,32,6.1877
1990,11,3,3,25,5.8037
1990,11,3,4,20,15.0480
1990,11,3,5,11,7.5420
1990,12,1,1,125,1.6623
1990,12,1,2,120,3.9859
1990,12,1,3,101,0.4119
1990,12,1,4,227,0.1197
1990,12,1,5,240,-2.8639
1990,12,2,1,37,6.1553
1990,12,2,2,45,8.1839
1990,12,2,3,39,8.8576
1990,12,2,4,42,4.4387
1990,12,2,5,20,8.4953
1990,12,3,1,47,3.5772
1990,12,3,2,35,3.2532
1990,12,3,3,22,0.7422
1990,12,3,4,27,11.9243
1990,12,3,5,8,2.7458
1991,1,1,1,133,10.9225
1991,1,1,2,85,12.0621
1991,1,1,3,100,13.9420
1991,1,1,4,207,17.1761
1991,1,1,5,257,20.5717
1991,1,2,1,47,13.1037
1991,1,2,2,45,12.4834
1991,1,2,3,42,16.8954
1991,1,2,4,38,22.2793
1991,1,2,5,26,22.8126
1991,1,3,1,47,5.3856
1991,1,3,2,31,5.7092
1991,1,3,3,30,5.2787
1991,1,3,4,24,11.6556
1991,1,3,5,9,17.5309
1991,2,1,1,137,15.6782
1991,2,1,2,66,12.5000
1991,2,1,3,111,15.0738
1991,2,1,4,174,18.1773
1991,2,1,5,274,17.2643
1991,2,2,1,52,7.0323
1991,2,2,2,38,13.2906
1991,2,2,3,39,9.6981
1991,2,2,4,34,12.5042
1991,2,2,5,25,17.7090
1991,2,3,1,44,8.8569
1991,2,3,2,30,6.3091
1991,2,3,3,30,5.6045
1991,2,3,4,30,5.5156
1991,2,3,5,9,1.9875
1991,3,1,1,141,8.2980
1991,3,1,2,68,11.7203
1991,3,1,3,110,12.9306
1991,3,1,4,175,13.1449
1991,3,1,5,263,13.9960
1991,3,2,1,57,9.9666
1991,3,2,2,34,7.5033
1991,3,2,3,40,5.4505
1991,3,2,4,34,6.3564
1991,3,2,5,23,12.5513
1991,3,3,1,44,6.7404
1991,3,3,2,32,0.1858
1991,3,3,3,34,1.3977
1991,3,3,4,29,-4.9080
1991,3,3,5,14,0.7707
1991,4,1,1,141,1.6311
1991,4,1,2,83,3.3311
1991,4,1,3,107,1.3412
1991,4,1,4,160,1.6806
1991,4,1,5,248,2.1506
1991,4,2,1,56,-2.1656
1991,4,2,2,39,-2.5433
1991,4,2,3,42,-0.4403
1991,4,2,4,33,-2.4254
1991,4,2,5,26,1.3261
1991,4,3,1,51,-0.3643
1991,4,3,2,33,-2.0658
1991,4,3,3,29,0.6359
1991,4,3,4,29,-2.9431
1991,4,3,5,15,0.1993
1991,5,1,1,165,5.9165
1991,5,1,2,119,0.6660
1991,5,1,3,165,4.2840
1991,5,1,4,194,4.3284
1991,5,1,5,253,2.1600
1991,5,2,1,83,4.3597
1991,5,2,2,46,3.6428
1991,5,2,3,54,5.9560
1991,5,2,4,49,2.5446
1991,5,2,5,42,5.2606
1991,5,3,1,75,3.4474
1991,5,3,2,58,1.4618
1991,5,3,3,55,5.4667
1991,5,3,4,35,4.9733
1991,5,3,5,35,12.6019
1991,6,1,1,164,-7.3265
1991,6,1,2,108,-5.3564
1991,6,1,3,174,-7.8384
1991,6,1,4,186,-5.8922
1991,6,1,5,262,-4.8528
1991,6,2,1,77,-8.5502
1991,6,2,2,50,-6.8348
1991,6,2,3,44,-8.0269
1991,6,2,4,52,-7.9977
1991,6,2,5,47,-4.9992
1991,6,3,1,75,-4.6229
1991,6,3,2,58,-3.9333
1991,6,3,3,51,-3.5502
1991,6,3,4,38,-7.0672
1991,6,3,5,28,-2.8402
1991,7,1,1,163,5.2478
1991,7,1,2,110,2.9619
1991,7,1,3,163,1.7309
1991,7,1,4,199,4.8970
1991,7,1,5,265,0.8868
1991,7,2,1,61,7.7457
1991,7,2,2,52,8.1072
1991,7,2,3,48,0.9233
1991,7,2,4,47,1.8127
1991,7,2,5,42,3.4368
1991,7,3,1,76,7.0337
1991,7,3,2,54,4.1986
1991,7,3,3,50,2.9808
1991,7,3,4,38,4.6799
1991,7,3,5,30,3.3266
1991,8,1,1,139,4.1987
1991,8,1,2,83,7.7664
1991,8,1,3,86,5.1820
1991,8,1,4,198,5.5152
1991,8,1,5,228,4.7556
1991,8,2,1,47,4.6205
1991,8,2,2,38,8.4868
1991,8,2,3,37,7.3555
1991,8,2,4,42,4.4750
1991,8,2,5,22,1.7593
1991,8,3,1,45,3.0261
1991,8,3,2,31,2.9684
1991,8,3,3,26,-0.5676
1991,8,3,4,24,0.5809
1991,8,3,5,19,0.7853
1991,9,1,1,141,6.5658
1991,9,1,2,79,3.5834
1991,9,1,3,91,4.0540
1991,9,1,4,185,3.9085
1991,9,1,5,208,-0.5459
1991,9,2,1,57,3.3654
1991,9,2,2,39,-1.8942
1991,9,2,3,39,1.5278
1991,9,2,4,42,-1.0503
1991,9,2,5,25,-3.6443
1991,9,3,1,50,0.0414
1991,9,3,2,29,-3.1375
1991,9,3,3,29,-2.0955
1991,9,3,4,22,0.1982
1991,9,3,5,16,-7.0960
1991,10,1,1,126,6.1329
1991,10,1,2,98,4.1902
1991,10,1,3,100,10.5672
1991,10,1,4,159,6.8673
1991,10,1,5,229,5.9046
1991,10,2,1,52,8.2186
1991,10,2,2,43,4.4200
1991,10,2,3,35,2.4461
1991,10,2,4,38,6.3255
1991,10,2,5,30,10.0041
1991,10,3,1,47,6.3328
1991,10,3,2,37,4.3750
1991,10,3,3,28,3.1489
1991,10,3,4,22,-0.2134
1991,10,3,5,15,9.6069
1991,11,1,1,146,-3.7589
1991,11,1,2,94,-4.7677
1991,11,1,3,114,-3.3540
1991,11,1,4,127,-3.8559
1991,11,1,5,252,-2.3659
1991,11,2,1,66,-7.7339
1991,11,2,2,48,-7.2760
1991,11,2,3,48,-6.2442
1991,11,2,4,45,-9.3299
1991,11,2,5,34,-5.4669
1991,11,3,1,53,-0.7630
1991,11,3,2,42,-3.4392
1991,11,3,3,28,-6.5352
1991,11,3,4,22,-4.4653
1991,11,3,5,16,-4.4139
1991,12,1,1,141,10.6621
1991,12,1,2,110,7.3418
1991,12,1,3,115,6.3949
1991,12,1,4,153,7.2184
1991,12,1,5,232,3.1011
1991,12,2,1,67,15.1271
1991,12,2,2,47,13.6222
1991,12,2,3,50,10.2372
1991,12,2,4,43,8.9455
1991,12,2,5,27,13.9334
1991,12,3,1,50,15.6981
1991,12,3,2,42,15.4938
1991,12,3,3,28,9.6951
1991,12,3,4,25,7.0459
1991,12,3,5,14,6.0301
1992,1,1,1,139,16.0467
1992,1,1,2,87,11.1317
1992,1,1,3,122,14.0962
1992,1,1,4,135,22.5186
1992,1,1,5,243,21.6675
1992,1,2,1,71,4.8718
1992,1,2,2,48,8.4095
1992,1,2,3,55,10.3410
1992,1,2,4,43,14.8725
1992,1,2,5,24,10.6326
1992,1,3,1,55,-5.0003
1992,1,3,2,44,-5.3849
1992,1,3,3,27,2.6906
1992,1,3,4,21,6.5558
1992,1,3,5,17,4.6085
1992,2,1,1,152,-1.1741
1992,2,1,2,117,0.5606
1992,2,1,3,98,5.2135
1992,2,1,4,126,5.1240
1992,2,1,5,210,6.5416
1992,2,2,1,82,-2.7011
1992,2,2,2,69,-2.5211
1992,2,2,3,49,0.7534
1992,2,2,4,36,1.5920
1992,2,2,5,27,2.8844
1992,2,3,1,49,0.6938
1992,2,3,2,47,-1.6050
1992,2,3,3,21,1.8159
1992,2,3,4,23,1.5974
1992,2,3,5,16,9.4158
1992,3,1,1,158,-7.0912
1992,3,1,2,115,-6.3936
1992,3,1,3,116,-5.3013
1992,3,1,4,103,-6.4683
1992,3,1,5,216,-0.4868
1992,3,2,1,81,-11.4304
1992,3,2,2,51,-6.2297
1992,3,2,3,59,-7.7263
1992,3,2,4,29,-8.8512
1992,3,2,5,30,-5.6709
1992,3,3,1,49,-4.2066
1992,3,3,2,49,-4.9328
1992,3,3,3,21,1.5934
1992,3,3,4,29,-1.5955
1992,3,3,5,14,-8.3488
1992,4,1,1,157,-13.3508
1992,4,1,2,123,-9.9779
1992,4,1,3,118,-8.7696
1992,4,1,4,110,-7.2444
1992,4,1,5,212,-6.7924
1992,4,2,1,71,-9.4432
1992,4,2,2,56,-10.4426
1992,4,2,3,51,-5.6380
1992,4,2,4,32,-5.5477
1992,4,2,5,27,-6.5916
1992,4,3,1,50,-1.3191
1992,4,3,2,38,1.5140
1992,4,3,3,30,1.5066
1992,4,3,4,27,3.9021
1992,4,3,5,14,-0.7637
1992,5,1,1,179,-2.7342
1992,5,1,2,145,0.4812
1992,5,1,3,174,-3.9044
1992,5,1,4,194,-0.8449
1992,5,1,5,222,0.2254
1992,5,2,1,76,-1.0410
1992,5,2,2,58,0.8896
1992,5,2,3,72,1.6370
1992,5,2,4,62,3.0983
1992,5,2,5,43,1.2100
1992,5,3,1,80,0.5189
1992,5,3,2,70,1.3625
1992,5,3,3,48,-0.5777
1992,5,3,4,49,0.7659
1992,5,3,5,30,-2.9015
1992,6,1,1,181,-9.0509
1992,6,1,2,135,-6.5025
1992,6,1,3,169,-6.3071
1992,6,1,4,207,-7.7636
1992,6,1,5,223,-7.7419
1992,6,2,1,70,-5.7308
1992,6,2,2,62,-5.8105
1992,6,2,3,75,-6.3281
1992,6,2,4,54,-2.1052
1992,6,2,5,44,-3.7904
1992,6,3,1,78,-3.0977
1992,6,3,2,71,-2.8242
1992,6,3,3,49,-1.4018
1992,6,3,4,45,-1.3053
1992,6,3,5,30,-0.7448
1992,7,1,1,171,-1.3357
1992,7,1,2,143,-0.4510
1992,7,1,3,156,2.4657
1992,7,1,4,220,1.9571
1992,7,1,5,212,1.5481
1992,7,2,1,71,-1.0519
1992,7,2,2,57,1.6837
1992,7,2,3,71,5.1514
1992,7,2,4,51,0.5888
1992,7,2,5,36,3.0111
1992,7,3,1,79,5.5862
1992,7,3,2,65,4.8440
1992,7,3,3,47,2.2009
1992,7,3,4,47,4.2061
1992,7,3,5,32,0.1045
1992,8,1,1,110,-7.2558
1992,8,1,2,126,-5.0095
1992,8,1,3,127,-3.1046
1992,8,1,4,173,-7.1593
1992,8,1,5,227,-3.0264
1992,8,2,1,50,-8.5573
1992,8,2,2,43,-6.5742
1992,8,2,3,66,-3.3958
1992,8,2,4,39,-10.0800
1992,8,2,5,37,-3.8978
1992,8,3,1,47,-3.0603
1992,8,3,2,33,-2.6046
1992,8,3,3,28,-4.4057
1992,8,3,4,32,-6.0373
1992,8,3,5,11,-1.7050
1992,9,1,1,112,1.5461
1992,9,1,2,132,-0.8404
1992,9,1,3,105,0.7202
1992,9,1,4,160,1.4196
1992,9,1,5,236,-0.2994
1992,9,2,1,48,3.5677
1992,9,2,2,46,-2.5649
1992,9,2,3,68,3.2284
1992,9,2,4,35,0.4477
1992,9,2,5,43,8.7864
1992,9,3,1,46,-0.6786
1992,9,3,2,31,-3.2561
1992,9,3,3,32,3.1639
1992,9,3,4,28,-1.1674
1992,9,3,5,15,-0.1931
1992,10,1,1,104,2.6423
1992,10,1,2,125,-0.8883
1992,10,1,3,109,5.0881
1992,10,1,4,144,5.4940
1992,10,1,5,259,6.3297
1992,10,2,1,47,6.1120
1992,10,2,2,53,6.0588
1992,10,2,3,66,3.0058
1992,10,2,4,36,9.4662
1992,10,2,5,43,5.0730
1992,10,3,1,47,3.5798
1992,10,3,2,35,3.2544
1992,10,3,3,29,1.4605
1992,10,3,4,30,-3.4328
1992,10,3,5,14,-1.1703
1992,11,1,1,119,8.7947
1992,11,1,2,136,10.9369
1992,11,1,3,131,14.9133
1992,11,1,4,154,13.2784
1992,11,1,5,251,15.0608
1992,11,2,1,50,7.4957
1992,11,2,2,56,9.3639
1992,11,2,3,64,14.1317
1992,11,2,4,38,14.2337
1992,11,2,5,32,13.8168
1992,11,3,1,50,5.4826
1992,11,3,2,42,3.0285
1992,11,3,3,30,6.7426
1992,11,3,4,34,4.2234
1992,11,3,5,12,2.6289
1992,12,1,1,114,2.4576
1992,12,1,2,139,1.3474
1992,12,1,3,137,2.2579
1992,12,1,4,161,0.0949
1992,12,1,5,237,2.8078
1992,12,2,1,57,3.2864
1992,12,2,2,57,1.2297
1992,12,2,3,64,1.2859
1992,12,2,4,40,-0.5475
1992,12,2,5,25,3.7584
1992,12,3,1,51,-1.9509
1992,12,3,2,41,-0.6385
1992,12,3,3,34,6.8998
1992,12,3,4,35,1.8058
1992,12,3,5,14,-15.0733
1993,1,1,1,117,5.7283
1993,1,1,2,139,0.0357
1993,1,1,3,144,2.7757
1993,1,1,4,136,4.4051
1993,1,1,5,258,8.0162
1993,1,2,1,58,-2.4573
1993,1,2,2,56,-0.5475
1993,1,2,3,67,-1.1023
1993,1,2,4,30,-1.1665
1993,1,2,5,32,6.1773
1993,1,3,1,54,-0.2829
1993,1,3,2,40,-2.9969
1993,1,3,3,34,-0.5630
1993,1,3,4,34,0.4807
1993,1,3,5,12,5.6058
1993,2,1,1,110,-4.2521
1993,2,1,2,163,-8.9002
1993,2,1,3,141,-9.6091
1993,2,1,4,147,-7.6248
1993,2,1,5,226,-5.0285
1993,2,2,1,56,-9.4436
1993,2,2,2,58,-11.4687
1993,2,2,3,64,-6.3015
1993,2,2,4,36,-7.6264
1993,2,2,5,31,-5.9005
1993,2,3,1,47,-3.8791
1993,2,3,2,47,-2.8527
1993,2,3,3,34,-2.2218
1993,2,3,4,29,2.7563
1993,2,3,5,14,3.8289
1993,3,1,1,130,0.9758
1993,3,1,2,150,0.4348
1993,3,1,3,122,1.1985
1993,3,1,4,185,-0.6418
1993,3,1,5,237,1.8572
1993,3,2,1,57,2.7782
1993,3,2,2,48,-0.2017
1993,3,2,3,50,-2.7227
1993,3,2,4,40,-4.4788
1993,3,2,5,27,-1.6264
1993,3,3,1,48,4.2141
1993,3,3,2,42,0.9092
1993,3,3,3,31,0.0981
1993,3,3,4,33,3.0779
1993,3,3,5,14,-2.7982
1993,4,1,1,125,-1.6101
1993,4,1,2,138,-8.5680
1993,4,1,3,129,-3.8150
1993,4,1,4,181,-4.8794
1993,4,1,5,238,-2.7160
1993,4,2,1,56,-2.3448
1993,4,2,2,48,-4.5123
1993,4,2,3,53,-3.4601
1993,4,2,4,39,-5.5915
1993,4,2,5,31,-7.6813
1993,4,3,1,49,-5.9375
1993,4,3,2,43,0.8010
1993,4,3,3,32,5.4669
1993,4,3,4,30,-1.1902
1993,4,3,5,14,-1.7950
1993,5,1,1,154,5.1301
1993,5,1,2,150,4.2869
1993,5,1,3,194,5.0414
1993,5,1,4,255,7.5374
1993,5,1,5,261,5.7587
1993,5,2,1,74,5.6941
1993,5,2,2,51,11.5442
1993,5,2,3,81,12.1080
1993,5,2,4,56,9.6487
1993,5,2,5,53,10.7072
1993,5,3,1,77,1.5512
1993,5,3,2,72,3.7305
1993,5,3,3,59,3.6916
1993,5,3,4,50,4.4337
1993,5,3,5,32,3.0987
1993,6,1,1,148,-0.3415
1993,6,1,2,146,1.1559
1993,6,1,3,195,1.6861
1993,6,1,4,249,-1.4548
1993,6,1,5,260,-0.1297
1993,6,2,1,78,0.8604
1993,6,2,2,57,-1.5549
1993,6,2,3,67,0.8888
1993,6,2,4,63,0.3375
1993,6,2,5,46,-0.4857
1993,6,3,1,75,-0.9530
1993,6,3,2,74,-0.4747
1993,6,3,3,59,1.2142
1993,6,3,4,47,-3.1250
1993,6,3,5,34,2.0113
1993,7,1,1,146,-1.3459
1993,7,1,2,158,-0.2840
1993,7,1,3,181,-1.1865
1993,7,1,4,244,0.8341
1993,7,1,5,278,-1.0447
1993,7,2,1,70,-1.7233
1993,7,2,2,56,1.2734
1993,7,2,3,71,3.0179
1993,7,2,4,56,-2.3392
1993,7,2,5,47,2.5555
1993,7,3,1,72,-1.8571
1993,7,3,2,74,-2.5411
1993,7,3,3,57,-1.8852
1993,7,3,4,49,-0.6452
1993,7,3,5,34,-0.9462
1993,8,1,1,134,8.9152
1993,8,1,2,112,2.0428
1993,8,1,3,111,5.0149
1993,8,1,4,153,4.4932
1993,8,1,5,385,7.4232
1993,8,2,1,52,3.4858
1993,8,2,2,48,5.5393
1993,8,2,3,51,8.4643
1993,8,2,4,36,7.1417
1993,8,2,5,51,3.8518
1993,8,3,1,43,2.8326
1993,8,3,2,43,2.9845
1993,8,3,3,33,8.9349
1993,8,3,4,25,3.7245
1993,8,3,5,20,4.3061
1993,9,1,1,132,0.0705
1993,9,1,2,121,2.4394
1993,9,1,3,91,1.0994
1993,9,1,4,160,5.3461
1993,9,1,5,377,3.4235
1993,9,2,1,52,4.0734
1993,9,2,2,56,6.3635
1993,9,2,3,43,3.1630
1993,9,2,4,38,2.5229
1993,9,2,5,49,2.1659
1993,9,3,1,46,0.8770
1993,9,3,2,46,-0.1493
1993,9,3,3,31,-0.6844
1993,9,3,4,28,-1.0537
1993,9,3,5,18,-4.5956
1993,10,1,1,136,7.1031
1993,10,1,2,109,3.9240
1993,10,1,3,108,4.1479
1993,10,1,4,174,5.4249
1993,10,1,5,345,8.1405
1993,10,2,1,62,6.2763
1993,10,2,2,56,2.3595
1993,10,2,3,39,4.4083
1993,10,2,4,44,3.8607
1993,10,2,5,46,7.2588
1993,10,3,1,49,1.9172
1993,10,3,2,44,0.5259
1993,10,3,3,37,5.4663
1993,10,3,4,25,0.6007
1993,10,3,5,22,6.1125
1993,11,1,1,156,-7.1311
1993,11,1,2,118,-1.2967
1993,11,1,3,107,-2.7883
1993,11,1,4,215,-2.2394
1993,11,1,5,290,-2.3464
1993,11,2,1,64,-4.2408
1993,11,2,2,52,-1.7712
1993,11,2,3,48,-4.4959
1993,11,2,4,54,-2.3236
1993,11,2,5,48,1.9729
1993,11,3,1,50,0.8253
1993,11,3,2,49,-0.4390
1993,11,3,3,37,-1.2727
1993,11,3,4,33,2.6149
1993,11,3,5,19,6.9348
1993,12,1,1,153,2.6419
1993,12,1,2,118,1.6123
1993,12,1,3,120,1.8879
1993,12,1,4,199,-0.2374
1993,12,1,5,319,-2.3038
1993,12,2,1,56,-0.7986
1993,12,2,2,57,6.2171
1993,12,2,3,42,2.0124
1993,12,2,4,48,1.9661
1993,12,2,5,43,1.2921
1993,12,3,1,47,2.8563
1993,12,3,2,46,1.5027
1993,12,3,3,43,1.0671
1993,12,3,4,30,1.2321
1993,12,3,5,22,2.7338
1994,1,1,1,148,2.5761
1994,1,1,2,113,6.1891
1994,1,1,3,106,2.7523
1994,1,1,4,181,5.2659
1994,1,1,5,348,6.1802
1994,1,2,1,58,0.6090
1994,1,2,2,60,6.5958
1994,1,2,3,41,5.2172
1994,1,2,4,42,4.6738
1994,1,2,5,47,4.4952
1994,1,3,1,47,5.1555
1994,1,3,2,51,4.2770
1994,1,3,3,39,2.3277
1994,1,3,4,30,6.4367
1994,1,3,5,21,2.2477
1994,2,1,1,157,-3.4571
1994,2,1,2,113,-1.9039
1994,2,1,3,140,-1.1611
1994,2,1,4,153,-0.7008
1994,2,1,5,356,-1.1192
1994,2,2,1,60,-2.7308
1994,2,2,2,60,-0.6451
1994,2,2,3,47,-0.3850
1994,2,2,4,39,1.9033
1994,2,2,5,47,0.3915
1994,2,3,1,40,-0.0886
1994,2,3,2,54,-3.1502
1994,2,3,3,42,-3.9891
1994,2,3,4,26,2.4680
1994,2,3,5,24,-1.2557
1994,3,1,1,143,-7.4238
1994,3,1,2,130,-6.3886
1994,3,1,3,122,-5.5340
1994,3,1,4,182,-5.7480
1994,3,1,5,328,-4.4513
1994,3,2,1,61,-9.2842
1994,3,2,2,64,-9.1662
1994,3,2,3,51,-8.2020
1994,3,2,4,46,-7.9282
1994,3,2,5,47,-7.5138
1994,3,3,1,42,-6.4436
1994,3,3,2,55,-2.6800
1994,3,3,3,43,-3.9466
1994,3,3,4,28,-4.7378
1994,3,3,5,24,-0.8378
1994,4,1,1,148,-4.9401
1994,4,1,2,132,-0.9043
1994,4,1,3,123,-1.4248
1994,4,1,4,189,-3.1717
1994,4,1,5,329,-4.0212
1994,4,2,1,64,-1.6283
1994,4,2,2,62,-4.0103
1994,4,2,3,50,-1.5277
1994,4,2,4,36,-2.1444
1994,4,2,5,45,-0.8228
1994,4,3,1,42,-2.4889
1994,4,3,2,55,0.7320
1994,4,3,3,38,1.6339
1994,4,3,4,31,-0.1681
1994,4,3,5,25,-1.7520
1994,5,1,1,184,-1.9717
1994,5,1,2,149,-1.1353
1994,5,1,3,196,-1.6290
1994,5,1,4,275,0.3385
1994,5,1,5,340,-0.9822
1994,5,2,1,83,-3.4335
1994,5,2,2,70,-2.5893
1994,5,2,3,73,-2.2565
1994,5,2,4,55,-1.0400
1994,5,2,5,55,1.0384
1994,5,3,1,80,-0.2961
1994,5,3,2,74,0.5757
1994,5,3,3,64,4.1721
1994,5,3,4,48,4.1601
1994,5,3,5,44,1.8203
1994,6,1,1,182,-6.1978
1994,6,1,2,130,-4.0005
1994,6,1,3,210,-3.5505
1994,6,1,4,251,-5.4370
1994,6,1,5,362,-5.1370
1994,6,2,1,76,-5.6563
1994,6,2,2,69,-1.8777
1994,6,2,3,69,-5.1627
1994,6,2,4,62,-3.9569
1994,6,2,5,61,-2.5212
1994,6,3,1,77,-3.6565
1994,6,3,2,73,-2.1626
1994,6,3,3,68,-2.9618
1994,6,3,4,43,-3.9021
1994,6,3,5,43,-3.6007
1994,7,1,1,169,3.6240
1994,7,1,2,142,0.8533
1994,7,1,3,205,0.1777
1994,7,1,4,261,0.1436
1994,7,1,5,372,-1.6572
1994,7,2,1,73,0.5139
1994,7,2,2,59,1.8654
1994,7,2,3,63,5.6752
1994,7,2,4,63,4.5365
1994,7,2,5,50,1.9845
1994,7,3,1,76,2.3491
1994,7,3,2,63,3.6480
1994,7,3,3,66,4.2114
1994,7,3,4,48,3.2728
1994,7,3,5,46,3.9564
1994,8,1,1,140,3.4561
1994,8,1,2,115,8.7513
1994,8,1,3,109,5.4266
1994,8,1,4,203,6.8724
1994,8,1,5,447,8.8811
1994,8,2,1,48,8.6977
1994,8,2,2,42,12.8207
1994,8,2,3,33,14.6159
1994,8,2,4,51,11.9839
1994,8,2,5,53,10.8997
1994,8,3,1,46,8.4463
1994,8,3,2,40,9.3239
1994,8,3,3,43,7.0491
1994,8,3,4,26,7.9117
1994,8,3,5,25,13.9888
1994,9,1,1,120,1.6389
1994,9,1,2,116,4.3330
1994,9,1,3,106,1.8549
1994,9,1,4,193,2.9301
1994,9,1,5,454,2.3174
1994,9,2,1,52,-2.1240
1994,9,2,2,49,1.1077
1994,9,2,3,38,1.2432
1994,9,2,4,49,1.9377
1994,9,2,5,53,1.2977
